"geo","dguid","age","disability","value","rate"
"Nova Scotia",12,"25-64","Total with disability",176610,0.35418337879031
"Nova Scotia",12,"25-64","Mild",62090,0.124518690839082
"Nova Scotia",12,"25-64","Moderate",37660,0.0755254291673352
"Nova Scotia",12,"25-64","Severe",40090,0.0803986844216268
"Nova Scotia",12,"25-64","Very severe",36770,0.0737405743622654
"Nova Scotia",12,"25-44","Total population",228190,1
"Nova Scotia",12,"25-44","Total with disability",69740,0.30562250755949
"Nova Scotia",12,"25-44","Mild",31330,0.137297865813576
"Nova Scotia",12,"25-44","Moderate",14990,0.0656908716420527
"Nova Scotia",12,"25-44","Severe",15550,0.068144966913537
"Nova Scotia",12,"25-44","Very severe",7870,0.0344888031903239
"Nova Scotia",12,"45-64","Total population",270450,1
"Nova Scotia",12,"45-64","Total with disability",106870,0.39515622111296
"Nova Scotia",12,"45-64","Mild",30760,0.113736365317064
"Nova Scotia",12,"45-64","Moderate",22670,0.0838232575337401
"Nova Scotia",12,"45-64","Severe",24540,0.0907376594564615
"Nova Scotia",12,"45-64","Very severe",28890,0.106821963394343
"Nova Scotia",12,"65+","Total population",193700,1
"Nova Scotia",12,"65+","Total with disability",95360,0.492307692307692
"Nova Scotia",12,"65+","Mild",27590,0.142436757872999
"Nova Scotia",12,"65+","Moderate",17240,0.0890036138358286
"Nova Scotia",12,"65+","Severe",22790,0.117656169334022
"Nova Scotia",12,"65+","Very severe",27740,0.143211151264843
"New Brunswick",13,"Total","Total population",629310,1
"New Brunswick",13,"Total","Total with disability",221900,0.352608412388171
"New Brunswick",13,"Total","Mild",80610,0.128092672927492
"New Brunswick",13,"Total","Moderate",43010,0.0683446949833945
"New Brunswick",13,"Total","Severe",45130,0.071713463952583
"New Brunswick",13,"Total","Very severe",53160,0.0844734709443676
"New Brunswick",13,"15-24","Total population",78740,1
"New Brunswick",13,"15-24","Total with disability",21060,0.26746253492507
"New Brunswick",13,"15-24","Mild",8710,0.110617221234442
"New Brunswick",13,"15-24","Moderate",4510,0.0572771145542291
"New Brunswick",13,"15-24","Severe",4550,0.0577851155702311
"New Brunswick",13,"15-24","Very severe",3280,0.0416560833121666
"New Brunswick",13,"25-64","Total population",393590,1
"New Brunswick",13,"25-64","Total with disability",128840,0.327345715084225
"New Brunswick",13,"25-64","Mild",49300,0.125257247389415
"New Brunswick",13,"25-64","Moderate",26830,0.0681673823013796
"New Brunswick",13,"25-64","Severe",24870,0.0631875809852893
"New Brunswick",13,"25-64","Very severe",27840,0.0707335044081405
"New Brunswick",13,"25-44","Total population",173910,1
"New Brunswick",13,"25-44","Total with disability",49330,0.283652463918119
"New Brunswick",13,"25-44","Mild",23890,0.13736990397332
"New Brunswick",13,"25-44","Moderate",10030,0.0576735092864125
"New Brunswick",13,"25-44","Severe",8750,0.0503133804841585
"New Brunswick",13,"25-44","Very severe",6670,0.0383531711804957
"New Brunswick",13,"45-64","Total population",219680,1
"New Brunswick",13,"45-64","Total with disability",79510,0.361935542607429
"New Brunswick",13,"45-64","Mild",25410,0.115668244719592
"New Brunswick",13,"45-64","Moderate",16810,0.0765203932993445
"New Brunswick",13,"45-64","Severe",16120,0.0733794610342316
"New Brunswick",13,"45-64","Very severe",21170,0.0963674435542607
"New Brunswick",13,"65+","Total population",156980,1
"New Brunswick",13,"65+","Total with disability",72000,0.458657153777551
"New Brunswick",13,"65+","Mild",22590,0.143903681997707
"New Brunswick",13,"65+","Moderate",11660,0.0742769779589757
"New Brunswick",13,"65+","Severe",15720,0.100140145241432
"New Brunswick",13,"65+","Very severe",22030,0.140336348579437
"Quebec",24,"Total","Total population",6785220,1
"Quebec",24,"Total","Total with disability",1422020,0.209576108070188
"Quebec",24,"Total","Mild",623120,0.0918348999737665
"Quebec",24,"Total","Moderate",274120,0.0403995743689961
"Quebec",24,"Total","Severe",271750,0.0400502857681844
"Quebec",24,"Total","Very severe",253020,0.0372898741676762
"Quebec",24,"15-24","Total population",872340,1
"Quebec",24,"15-24","Total with disability",143280,0.164247884998968
"Quebec",24,"15-24","Mild",73790,0.0845885778480868
"Quebec",24,"15-24","Moderate",31130,0.0356856271637206
"Quebec",24,"15-24","Severe",24940,0.0285897700437903
"Quebec",24,"15-24","Very severe",13420,0.0153839099433707
"Quebec",24,"25-64","Total population",4384610,1
"Quebec",24,"25-64","Total with disability",823030,0.18770882701084
"Quebec",24,"25-64","Mild",403610,0.092051516554494
"Quebec",24,"25-64","Moderate",146980,0.0335217955530823
"Quebec",24,"25-64","Severe",147930,0.0337384624858311
"Quebec",24,"25-64","Very severe",124510,0.0283970524174328
"Quebec",24,"25-44","Total population",2150560,1
"Quebec",24,"25-44","Total with disability",377910,0.175726322446247
"Quebec",24,"25-44","Mild",214980,0.0999646603675322
"Quebec",24,"25-44","Moderate",68270,0.0317452198497136
"Quebec",24,"25-44","Severe",52860,0.0245796443716985
"Quebec",24,"25-44","Very severe",41810,0.0194414478089428
"Quebec",24,"45-64","Total population",2234050,1
"Quebec",24,"45-64","Total with disability",445120,0.199243526331103
"Quebec",24,"45-64","Mild",188630,0.0844340995053826
"Quebec",24,"45-64","Moderate",78710,0.0352319777981692
"Quebec",24,"45-64","Severe",95080,0.0425594771826951
"Quebec",24,"45-64","Very severe",82700,0.0370179718448558
