"ref_date","geo","dguid","shelter_type","target","shelter","beds"
2016,"Amos, Quebec","2488055","Transitional housing","Total",0,0
2016,"Amos, Quebec","2488055","Transitional housing","Youth",0,0
2016,"Antigonish, Nova Scotia","1214002","Domestic violence shelter","General (women)",2,20
2016,"Antigonish, Nova Scotia","1214002","Domestic violence shelter","Total",2,20
2016,"Antigonish, Nova Scotia","1214002","Emergency shelter","Family",0,0
2016,"Antigonish, Nova Scotia","1214002","Emergency shelter","General (all)",0,0
2016,"Antigonish, Nova Scotia","1214002","Emergency shelter","General (men)",0,0
2016,"Antigonish, Nova Scotia","1214002","Emergency shelter","General (women)",0,0
2016,"Antigonish, Nova Scotia","1214002","Emergency shelter","Total",0,0
2016,"Antigonish, Nova Scotia","1214002","Emergency shelter","Youth",0,0
2016,"Antigonish, Nova Scotia","1214002","Transitional housing","Family",0,0
2016,"Antigonish, Nova Scotia","1214002","Transitional housing","General (all)",0,0
2016,"Antigonish, Nova Scotia","1214002","Transitional housing","General (men)",0,0
2016,"Antigonish, Nova Scotia","1214002","Transitional housing","General (women)",0,0
2016,"Antigonish, Nova Scotia","1214002","Transitional housing","Total",0,0
2016,"Antigonish, Nova Scotia","1214002","Transitional housing","Youth",0,0
2016,"Atikokan, Ontario","3559001","Domestic violence shelter","General (women)",2,20
2016,"Atikokan, Ontario","3559001","Domestic violence shelter","Total",2,20
2016,"Atikokan, Ontario","3559001","Emergency shelter","Family",0,0
2016,"Atikokan, Ontario","3559001","Emergency shelter","General (all)",0,0
2016,"Atikokan, Ontario","3559001","Emergency shelter","General (men)",0,0
2016,"Atikokan, Ontario","3559001","Emergency shelter","General (women)",0,0
2016,"Atikokan, Ontario","3559001","Emergency shelter","Total",0,0
2016,"Atikokan, Ontario","3559001","Emergency shelter","Youth",0,0
2016,"Atikokan, Ontario","3559001","Transitional housing","Family",0,0
2016,"Atikokan, Ontario","3559001","Transitional housing","General (all)",0,0
2016,"Atikokan, Ontario","3559001","Transitional housing","General (men)",0,0
2016,"Atikokan, Ontario","3559001","Transitional housing","General (women)",0,0
2016,"Atikokan, Ontario","3559001","Transitional housing","Total",0,0
2016,"Atikokan, Ontario","3559001","Transitional housing","Youth",0,0
2016,"Atlin, British Columbia",NA,"Domestic violence shelter","General (women)",1,3
2016,"Atlin, British Columbia",NA,"Domestic violence shelter","Total",1,3
2016,"Atlin, British Columbia",NA,"Emergency shelter","Family",0,0
2016,"Atlin, British Columbia",NA,"Emergency shelter","General (all)",0,0
2016,"Atlin, British Columbia",NA,"Emergency shelter","General (men)",0,0
2016,"Atlin, British Columbia",NA,"Emergency shelter","General (women)",0,0
2016,"Atlin, British Columbia",NA,"Emergency shelter","Total",0,0
2016,"Atlin, British Columbia",NA,"Emergency shelter","Youth",0,0
2016,"Atlin, British Columbia",NA,"Transitional housing","Family",0,0
2016,"Atlin, British Columbia",NA,"Transitional housing","General (all)",0,0
2016,"Atlin, British Columbia",NA,"Transitional housing","General (men)",0,0
2016,"Atlin, British Columbia",NA,"Transitional housing","General (women)",0,0
2016,"Atlin, British Columbia",NA,"Transitional housing","Total",0,0
2016,"Atlin, British Columbia",NA,"Transitional housing","Youth",0,0
2016,"Aurora, Ontario","3519046","Domestic violence shelter","General (women)",1,21
2016,"Aurora, Ontario","3519046","Domestic violence shelter","Total",1,21
2016,"Aurora, Ontario","3519046","Emergency shelter","Family",0,0
2016,"Aurora, Ontario","3519046","Emergency shelter","General (all)",0,0
2016,"Aurora, Ontario","3519046","Emergency shelter","General (men)",0,0
2016,"Aurora, Ontario","3519046","Emergency shelter","General (women)",0,0
