"ref_date","geo","dguid","field","value"
"2016/2017","Cape Breton","225","Nursing",6364
"2016/2017","Cape Breton","225","Other health, parks, recreation and fitness",5964
"2016/2017","Halifax","205","Total, field of study",7540
"2016/2017","Halifax","205","Education",6107
"2016/2017","Halifax","205","Visual and performing arts, and communications technologies",6540
"2016/2017","Halifax","205","Humanities",6254
"2016/2017","Halifax","205","Social and behavioural sciences, and legal studies",6304
"2016/2017","Halifax","205","Law",14125
"2016/2017","Halifax","205","Business management and public administration",6853
"2016/2017","Halifax","205","Physical and life sciences and technologies",7244
"2016/2017","Halifax","205","Mathematics, computer and information sciences",7082
"2016/2017","Halifax","205","Engineering",9200
"2016/2017","Halifax","205","Architecture",7041
"2016/2017","Halifax","205","Agriculture, natural resources and conservation",6087
"2016/2017","Halifax","205","Dentistry",22090
"2016/2017","Halifax","205","Medicine",18489
"2016/2017","Halifax","205","Nursing",7246
"2016/2017","Halifax","205","Pharmacy",9992
"2016/2017","Halifax","205","Other health, parks, recreation and fitness",7707
"2016/2017","Wolfville","1207024","Total, field of study",7188
"2016/2017","Wolfville","1207024","Education",7258
"2016/2017","Wolfville","1207024","Visual and performing arts, and communications technologies",7181
"2016/2017","Wolfville","1207024","Humanities",7152
"2016/2017","Wolfville","1207024","Social and behavioural sciences, and legal studies",7171
"2016/2017","Wolfville","1207024","Business management and public administration",7168
"2016/2017","Wolfville","1207024","Physical and life sciences and technologies",7185
"2016/2017","Wolfville","1207024","Mathematics, computer and information sciences",6920
"2016/2017","Wolfville","1207024","Agriculture, natural resources and conservation",7159
"2016/2017","Wolfville","1207024","Other health, parks, recreation and fitness",7320
"2016/2017","Clare","1203001","Total, field of study",6237
"2016/2017","Clare","1203001","Education",6063
"2016/2017","Clare","1203001","Humanities",6018
"2016/2017","Clare","1203001","Business management and public administration",6110
"2016/2017","Clare","1203001","Physical and life sciences and technologies",7532
"2016/2017","Antigonish","1214002","Total, field of study",7023
"2016/2017","Antigonish","1214002","Education",6685
"2016/2017","Antigonish","1214002","Visual and performing arts, and communications technologies",6966
"2016/2017","Antigonish","1214002","Humanities",7074
"2016/2017","Antigonish","1214002","Social and behavioural sciences, and legal studies",7011
"2016/2017","Antigonish","1214002","Business management and public administration",7063
"2016/2017","Antigonish","1214002","Physical and life sciences and technologies",6966
"2016/2017","Antigonish","1214002","Mathematics, computer and information sciences",6985
"2016/2017","Antigonish","1214002","Agriculture, natural resources and conservation",7218
"2016/2017","Antigonish","1214002","Nursing",7054
"2016/2017","Antigonish","1214002","Other health, parks, recreation and fitness",7022
"2016/2017","New Brunswick","13","Total, field of study",6714
"2016/2017","New Brunswick","13","Education",6308
"2016/2017","New Brunswick","13","Visual and performing arts, and communications technologies",7004
"2016/2017","New Brunswick","13","Humanities",6665
"2016/2017","New Brunswick","13","Social and behavioural sciences, and legal studies",6580
"2016/2017","New Brunswick","13","Law",8913
