"CSDUID","CDUID","PRUID","area_km2","precip_extrapolated","r20mm_2025","r20mm_2050","cdd_2025","cdd_2050","r1mm_2025","r1mm_2050","sdii_2025","sdii_2050","r95days_2025","r95days_2050","r99days_2025","r99days_2050","r20mm_2025_cd_mean","r20mm_2050_cd_mean","cdd_2025_cd_mean","cdd_2050_cd_mean","r1mm_2025_cd_mean","r1mm_2050_cd_mean","sdii_2025_cd_mean","sdii_2050_cd_mean","r95days_2025_cd_mean","r95days_2050_cd_mean","r99days_2025_cd_mean","r99days_2050_cd_mean","r20mm_2025_pr_mean","r20mm_2050_pr_mean","cdd_2025_pr_mean","cdd_2050_pr_mean","r1mm_2025_pr_mean","r1mm_2050_pr_mean","sdii_2025_pr_mean","sdii_2050_pr_mean","r95days_2025_pr_mean","r95days_2050_pr_mean","r99days_2025_pr_mean","r99days_2050_pr_mean","r20mm_2025_pctile_national","r20mm_2050_pctile_national","cdd_2025_pctile_national","cdd_2050_pctile_national","r1mm_2025_pctile_national","r1mm_2050_pctile_national","sdii_2025_pctile_national","sdii_2050_pctile_national","r95days_2025_pctile_national","r95days_2050_pctile_national","r99days_2025_pctile_national","r99days_2050_pctile_national"
"1001140","1001","10",9.69737620032275,FALSE,18,18.5,10.5,10,164,164,8.87296009063721,9.237220287323,9,11,2,3,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,96.4,95.9,8.4,5.1,85,83.9,95.4,95.4,83.9,93.8,88.3,96.5
"1001186","1001","10",25.4069102950759,FALSE,14.3333333333333,16.3333333333333,10,9.66666666666667,169,165.333333333333,8.31030400594076,8.66435400644938,10,9.66666666666667,2,3,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,92.3,94,3.9,2.9,90.5,86.5,92.4,92.7,97.2,74.8,88.3,96.5
"1001192","1001","10",30.647274902286,FALSE,15.25,16.75,10,9.75,170,166.75,8.39455962181091,8.76572227478027,9.5,10.75,2,3,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,93.5,94.5,3.9,3.2,92,88.8,92.8,93.1,92.4,91.4,88.3,96.5
"1001197","1001","10",63.1950285481983,FALSE,15.4,16.2,10,9.6,171.2,167.4,8.42205696105957,8.79574184417725,9.2,10.8,2,3,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,93.7,93.8,3.9,2.6,93.5,89.6,93.1,93.4,88.8,91.8,88.3,96.5
"1003020","1003","10",14.6814313562125,FALSE,16,17,11,10,170,165.5,8.37540769577026,8.61323690414429,9,10,2,3,14.2382433637801,15.5261680309942,9.60469654183093,9.64307705232141,182.458997155932,179.421948479532,7.83432171751535,7.9914538563337,9.51226183910052,10.99796550554,2.09803630211736,2.82505904008688,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,94.7,94.7,12,5.1,92,86.9,92.7,92.4,83.9,82,88.3,96.5
"1004018","1004","10",31.9109939390536,FALSE,9,10,10,9.8,192.8,192.6,6.4349871635437,6.56389217376709,9.6,12,2,2,9.94750279657163,11.5060705014467,8.93644350861602,8.8636454655577,201.850810926932,199.953009851506,6.52939655721162,6.66357006270027,10.073969595409,12.4086936947444,2.21683851231404,2.60120087134189,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,76.5,75.6,3.9,3.3,98,98,60.9,56.5,93.7,97.7,88.3,64.1
"1001203","1001","10",701.399111214123,FALSE,14.7083333333333,15.5416666666667,10.2083333333333,9.5,172.125,167.208333333333,8.30409771203995,8.5950292746226,9.45833333333333,10.5,2.04166666666667,2.83333333333333,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,92.7,93,6.7,2.1,94.3,89.4,92.3,92.3,91.6,89.6,98,91.3
"1001434","1001","10",8.00631412092204,FALSE,13,15,10,9.5,172.5,168.5,7.85295629501343,8.11978578567505,9,11,2.5,3,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,90.3,91.9,3.9,2.1,94.5,91.3,89.4,89,83.9,93.8,99.8,96.5
"1003021","1003","10",4010.73017075195,FALSE,14.3698630136986,16.027397260274,9.6986301369863,9.78082191780822,181.260273972603,177.520547945205,8.04033046225979,8.20921948837907,9.35616438356164,10.9041095890411,2.04109589041096,3,14.2382433637801,15.5261680309942,9.60469654183093,9.64307705232141,182.458997155932,179.421948479532,7.83432171751535,7.9914538563337,9.51226183910052,10.99796550554,2.09803630211736,2.82505904008688,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,92.4,93.7,1.1,3.3,97,96.1,91,89.7,90.7,92.2,98,96.5
"1002041","1002","10",16.6787976949717,FALSE,15,15,11,10.5,171,166.5,8.44180822372437,8.33910846710205,10,10.5,2,2.5,14.6402057534145,15.077862516189,10.4581833244233,10.411179656022,170.52346846836,166.318330551648,8.34441854803654,8.48423635127618,9.38258009016932,10.6496358970444,2.02877387969644,2.73435571402751,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,93.2,91.9,12,8.3,93.3,88.5,93.3,90.7,97.2,89.6,88.3,86.8
"1004017","1004","10",6.46474528866748,FALSE,8.5,11,9,9,204.5,204,6.31873893737793,6.48352789878845,10,12.5,2,3,9.94750279657163,11.5060705014467,8.93644350861602,8.8636454655577,201.850810926932,199.953009851506,6.52939655721162,6.66357006270027,10.073969595409,12.4086936947444,2.21683851231404,2.60120087134189,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,73.4,83.4,0.3,0.7,99.3,99.1,58.6,55.1,97.2,98.7,88.3,96.5
"1001207","1001","10",6.14315559757564,FALSE,15,16,10,10,170,166,8.48216724395752,8.90170192718506,9,11,2,3,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,93.2,93.5,3.9,5.1,92,87.7,93.5,94,83.9,93.8,88.3,96.5
"1001308","1001","10",25.2293584272834,FALSE,13.2,13.6,10.2,9.4,173.2,168.6,7.80168905258179,8.06855173110962,9.4,10.8,2,3,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,90.7,89.8,6.7,1.8,95.1,91.5,88.9,88.6,91.2,91.8,88.3,96.5
"1001343","1001","10",18.4056237409192,FALSE,13,12.75,10,9.75,167.5,165.25,7.56520283222198,7.83619034290314,9.25,9.75,2,2.5,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,90.3,88.2,3.9,3.2,88.9,86.3,87.1,86.3,89.5,76.2,88.3,86.8
"1001214","1001","10",1326.16999940143,FALSE,14.0689655172414,15.1724137931034,10.551724137931,9.72413793103448,171.310344827586,167.413793103448,8.31930584743105,8.4294993630771,9.41379310344828,10.4137931034483,2,3,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,92.1,92.4,8.8,3.1,93.6,89.7,92.5,91.3,91.3,88.8,88.3,96.5
"1001254","1001","10",21.0651092660538,FALSE,13.4,14.2,10.6,9.2,169.4,166.8,8.12851505279541,8.13225421905518,9,9.8,2,2.6,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,91,90.8,9,1.3,91.1,88.9,91.6,89.2,83.9,77,88.3,88.5
"1001259","1001","10",1499.90383341948,FALSE,12.9024390243902,13.390243902439,10.1219512195122,9.63414634146342,169.926829268293,166.536585365854,7.96132008622332,7.97930702349035,9.60975609756098,10.1707317073171,2.02439024390244,2.68292682926829,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,89.8,89.5,6.4,2.7,91.8,88.6,90.3,87.9,93.7,86.3,97.7,89.6
"1001409","1001","10",65.9383508752984,FALSE,13.5714285714286,14.4285714285714,10,9.71428571428571,172.428571428571,169,7.81608445303781,8.13285868508475,9,11,2.14285714285714,2.71428571428571,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,91.3,91,3.9,3.1,94.4,92,89,89.2,83.9,93.8,98.7,89.9
"1001131","1001","10",134.834442581335,FALSE,18,18,10.1428571428571,10.2857142857143,165.714285714286,164.857142857143,8.88640608106341,9.25170598711286,8.28571428571429,10.7142857142857,2,2.85714285714286,14.732528793714,15.217260731798,10.1276539596402,9.54824374898876,170.486803571344,167.221305024507,8.20823589177524,8.49761412953176,9.30262434181445,10.5559088185859,2.01720966879314,2.71879843181245,5.46256203518513,6.29346600612281,10.8713889737804,10.4554520800857,173.832545268341,174.45750852069,5.65211438059877,5.84525479877562,9.73040493187309,11.1293513667276,2.01167609127897,2.66864896367146,96.4,95.6,6.5,7.3,87.1,85.3,95.4,95.4,71.9,91.2,88.3,91.8
