"csd","date","topic","t_total","t_single","t_semi","t_row","t_apt","h_total","h_single","h_semi","h_row","h_apt","r_total","r_single","r_semi","r_row","r_apt","co_total","co_single","co_semi","co_row","co_apt","cp_total","cp_single","cp_semi","cp_row","cp_apt"
"10","1994-07-01","completions",1556,771,30,63,692,1465,770,22,17,656,84,1,8,39,36,7,0,0,7,0,0,0,0,0,0
"10","1995-07-01","completions",1022,546,52,30,394,1022,546,52,30,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","1996-07-01","completions",1140,565,86,34,455,1104,565,86,34,419,36,0,0,0,36,0,0,0,0,0,0,0,0,0,0
"10","1997-07-01","completions",1258,742,136,39,341,1199,742,136,17,304,59,0,0,22,37,0,0,0,0,0,0,0,0,0,0
"10","1998-07-01","completions",1008,600,182,20,206,942,600,182,14,146,54,0,0,6,48,12,0,0,0,12,0,0,0,0,0
"10","1999-07-01","completions",938,661,64,32,181,814,658,64,14,78,84,3,0,18,63,40,0,0,0,40,0,0,0,0,0
"10","2000-07-01","completions",946,856,32,16,42,939,855,32,10,42,7,1,0,6,0,0,0,0,0,0,0,0,0,0,0
"10","2001-07-01","completions",1094,966,30,15,83,1067,962,10,15,80,0,0,0,0,0,27,4,20,0,3,0,0,0,0,0
"10","2002-07-01","completions",1423,1201,18,33,171,1376,1201,12,19,144,14,0,0,14,0,33,0,6,0,27,0,0,0,0,0
"10","2003-07-01","completions",1643,1324,40,25,254,1583,1324,36,21,202,52,0,0,0,52,8,0,4,4,0,0,0,0,0,0
"10","2004-07-01","completions",1905,1378,174,109,244,1833,1378,174,63,218,21,0,0,17,4,51,0,0,29,22,0,0,0,0,0
"10","2005-07-01","completions",1933,1383,186,57,307,1824,1383,174,21,246,32,0,0,24,8,77,0,12,12,53,0,0,0,0,0
"10","2006-07-01","completions",1629,1229,158,41,201,1590,1229,158,35,168,10,0,0,0,10,29,0,0,6,23,0,0,0,0,0
"10","2007-07-01","completions",1603,1259,84,23,237,1533,1259,80,18,176,33,0,4,0,29,37,0,0,5,32,0,0,0,0,0
"10","2008-07-01","completions",1786,1418,78,70,220,1697,1418,74,29,176,38,0,2,32,4,51,0,2,9,40,0,0,0,0,0
"10","2009-07-01","completions",1979,1577,88,74,240,1895,1577,86,14,218,42,0,0,20,22,42,0,2,40,0,0,0,0,0,0
"10","2010-07-01","completions",2133,1753,44,100,236,1992,1740,30,24,198,72,0,12,48,12,69,13,2,28,26,0,0,0,0,0
"10","2011-07-01","completions",2235,1674,38,96,427,2085,1653,24,22,386,72,1,12,59,0,78,20,2,15,41,0,0,0,0,0
"10","2012-07-01","completions",2185,1487,20,104,574,2050,1486,18,17,529,56,0,2,38,16,79,1,0,49,29,0,0,0,0,0
"10","2013-07-01","completions",2314,1638,30,50,596,1699,1613,24,17,45,350,0,4,9,337,265,25,2,24,214,0,0,0,0,0
"10","2014-07-01","completions",1810,1363,23,25,399,1392,1362,21,9,0,359,0,0,16,343,59,1,2,0,56,0,0,0,0,0
"10","2015-07-01","completions",1533,1031,21,93,388,1070,1031,19,16,4,268,0,2,55,211,195,0,0,22,173,0,0,0,0,0
"10","2016-07-01","completions",1280,928,57,26,269,986,927,55,4,0,254,1,2,10,241,40,0,0,12,28,0,0,0,0,0
"10","2017-07-01","completions",992,705,118,77,92,836,702,90,40,4,144,3,28,33,80,12,0,0,4,8,0,0,0,0,0
"10","2018-07-01","completions",1041,647,96,163,135,795,637,74,60,24,186,10,8,79,89,60,0,14,24,22,0,0,0,0,0
"10","2019-07-01","completions",691,457,64,104,66,523,452,42,29,0,117,5,20,45,47,51,0,2,30,19,0,0,0,0,0
"10","2020-07-01","completions",569,420,50,40,59,455,420,28,7,0,75,0,12,4,59,39,0,10,29,0,0,0,0,0,0
"10","2021-07-01","completions",596,458,56,52,30,522,457,46,19,0,55,1,4,20,30,19,0,6,13,0,0,0,0,0,0
"10","2022-07-01","completions",684,561,54,61,8,646,561,54,31,0,8,0,0,0,8,30,0,0,30,0,0,0,0,0,0
"10","2023-07-01","completions",638,529,48,24,37,588,528,48,12,0,44,1,0,6,37,6,0,0,6,0,0,0,0,0,0
"10","2024-07-01","completions",654,448,62,13,131,516,443,60,13,0,132,5,2,0,125,6,0,0,0,6,0,0,0,0,0
"10","2025-07-01","completions",1116,724,92,33,267,826,719,88,19,0,282,5,4,14,259,8,0,0,0,8,0,0,0,0,0
