Name of Operating Agency,Housing/Shelter/Program Name,Ownership-Type,Housing-Type,Service/Support Model,Affordability Metric,Tenure-Model,Populations/Client Groups Served,# of beds,# of units,Studio,1-bed,2-bed,3-bed,4+-bed,County,Location (by community),CSD code,Referral Method
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,4,,,,,,Queens,South Rustico,1102017,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,3,,,,,,Kings,Cardigan,1101020,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,6,,,,,,Queens,Eldon,1102002,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,63,,,,,,Kings,Georgetown,1101045,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,195,,,,,,Kings,Montague,1101045,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,22,,,,,,Kings,Morell,1101048,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,6,,,,,,Kings,Murray Harbour,1101002,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,7,,,,,,Kings,Murray River,1101004,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,14,,,,,,Kings,Rollo Bay,1101035,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,132,,,,,,Kings,Souris,1101033,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,9,,,,,,Kings,St. Peters,1101044,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,3,,,,,,Queens,Vernon River,1102016,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Rural Native & Community Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),,Indigenous,,15,,,,,,Kings,,#N/A,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,5,,,,,,Prince,Abrams Village,1103027,Social Housing Registry + By-Names List/Coordinated Access
PEI Housing Corp,Social Housing,Provincial Government,Affordable (Non-Market),Independent,Rent Geared to Income (RGI),"Long-term, rental/tenancy",General population,,40,,,,,,Prince,Alberton,1103052,Social Housing Registry + By-Names List/Coordinated Access
