"ref_date","dguid","index","value"
2024,1003026,"Transportation",0.0971
2024,1003028,"Transportation",0.0902
2024,1003031,"Housing and transportation",0.1252
2024,1003031,"Housing",0.0615
2024,1003031,"Transportation",0.0637
2024,1003032,"Transportation",0.0807
2024,1003033,"Housing and transportation",0.1189
2024,1003033,"Housing",0.0616
2024,1003033,"Transportation",0.0573
2024,1003034,"Housing and transportation",0.1783
2024,1003034,"Housing",0.1044
2024,1003034,"Transportation",0.0739
2024,1003045,"Housing and transportation",0.1713
2024,1003045,"Housing",0.0803
2024,1003045,"Transportation",0.091
2024,1003801,"Transportation",0.0592
2024,1004001,"Transportation",0.1822
2024,1004006,"Housing and transportation",0.2706
2024,1004006,"Housing",0.0662
2024,1004006,"Transportation",0.2045
2024,1004011,"Transportation",0.2466
2024,1004013,"Housing and transportation",0.2696
2024,1004013,"Housing",0.0886
2024,1004013,"Transportation",0.1809
2024,1004016,"Housing and transportation",0.333
2024,1004016,"Housing",0.1217
2024,1004016,"Transportation",0.2113
2024,1004018,"Housing and transportation",0.3496
2024,1004018,"Housing",0.1364
2024,1004018,"Transportation",0.2131
2024,1004019,"Housing and transportation",0.3803
2024,1004019,"Housing",0.1791
2024,1004019,"Transportation",0.2012
2024,1004020,"Housing and transportation",0.2771
2024,1004020,"Housing",0.1544
2024,1004020,"Transportation",0.1227
2024,1004021,"Transportation",0.1809
2024,1004022,"Housing and transportation",0.3141
2024,1004022,"Housing",0.0746
2024,1004022,"Transportation",0.2395
2024,1004033,"Transportation",0.2226
2024,1004037,"Transportation",0.2149
2024,1004042,"Transportation",0.192
2024,1005001,"Housing and transportation",0.2236
2024,1005001,"Housing",0.0551
2024,1005001,"Transportation",0.1685
2024,1005003,"Transportation",0.1791
2024,1005004,"Housing and transportation",0.3085
2024,1005004,"Housing",0.1627
2024,1005004,"Transportation",0.1458
2024,1005005,"Housing and transportation",0.226
2024,1005005,"Housing",0.0588
2024,1005005,"Transportation",0.1672
2024,1005008,"Transportation",0.1537
2024,1005009,"Transportation",0.1338
2024,1005010,"Transportation",0.091
2024,1005011,"Transportation",0.0892
2024,1005012,"Housing and transportation",0.2617
2024,1005012,"Housing",0.1521
2024,1005012,"Transportation",0.1096
2024,1005014,"Housing and transportation",0.2983
2024,1005014,"Housing",0.1543
2024,1005014,"Transportation",0.1439
2024,1005015,"Transportation",0.1338
2024,1005016,"Transportation",0.107
2024,1005017,"Housing and transportation",0.2561
2024,1005017,"Housing",0.1727
2024,1005017,"Transportation",0.0835
2024,1005018,"Housing and transportation",0.3108
2024,1005018,"Housing",0.1677
2024,1005018,"Transportation",0.143
2024,1005020,"Housing and transportation",0.225
2024,1005020,"Housing",0.096
2024,1005020,"Transportation",0.129
2024,1005022,"Transportation",0.141
2024,1005023,"Transportation",0.171
2024,1005024,"Transportation",0.1602
2024,1005025,"Transportation",0.1238
2024,1005030,"Transportation",0.1309
2024,1005033,"Transportation",0.1152
2024,1005035,"Housing and transportation",0.2151
2024,1005035,"Housing",0.0804
2024,1005035,"Transportation",0.1348
2024,1006001,"Transportation",0.1344
2024,1006003,"Transportation",0.1692
2024,1006009,"Housing and transportation",0.2809
2024,1006009,"Housing",0.1683
2024,1006009,"Transportation",0.1125
2024,1006011,"Transportation",0.1242
2024,1006012,"Transportation",0.1375
2024,1006014,"Transportation",0.1511
2024,1006015,"Housing and transportation",0.1926
