"dguid","price","beds","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1101048,"median","2",NA,NA,146450,130000,NA,NA,170000,NA,255000,NA
1101050,"median","3",NA,NA,161500,NA,NA,NA,NA,NA,NA,NA
1101050,"median","Total",NA,NA,161500,NA,NA,NA,NA,NA,NA,NA
1101052,"median","2",NA,152000,NA,153750,164400,249750,260000,125000,210000,310000
1101052,"median","3",NA,394950,195525,227500,331500,365000,317250,360000,527500,NA
1101052,"median","Total",NA,285000,195525,189250,292500,320000,273000,345000,480000,310000
1102002,"median","2",168000,176000,162000,61500,186500,185000,197500,2e+05,248000,175000
1102002,"median","3",210000,220000,239000,255000,315300,330950,360000,269500,380000,287500
1102002,"median","Total",168500,181875,226500,250000,315000,314725,3e+05,259000,310000,237500
1102002,"median","1",NA,NA,NA,NA,NA,NA,193000,NA,NA,350000
1102003,"median","3",NA,175000,179500,NA,320000,202500,369000,289500,535000,340000
1102003,"median","Total",NA,175000,179500,NA,320000,202500,369000,289500,535000,451000
1102003,"median","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,562000
1102005,"median","3",NA,NA,123500,NA,380000,NA,NA,NA,NA,499000
1102005,"median","Total",NA,NA,123500,NA,380000,NA,NA,NA,220000,499000
1102005,"median","2",NA,NA,NA,NA,NA,NA,NA,NA,220000,NA
1102010,"median","2",137000,180000,166000,225000,180500,328500,250000,NA,160000,301325
1102010,"median","3",2e+05,251950,262500,289000,299900,410000,404500,440000,398000,510000
1102010,"median","Total",165000,219500,260000,270000,293500,392000,372250,440000,386500,444750
1102010,"median","0",NA,55000,NA,NA,NA,NA,NA,NA,NA,NA
1102011,"median","3",228000,502000,868000,208000,320000,301200,1666500,395950,3e+05,446250
1102011,"median","Total",228000,502000,868000,208000,320000,301200,1666500,395950,3e+05,446250
1102013,"median","3",333500,NA,3e+05,380000,320000,NA,615000,669000,584500,510000
1102013,"median","Total",333500,NA,3e+05,380000,320000,NA,555750,669000,584500,510000
1102013,"median","2",NA,NA,NA,NA,NA,NA,496500,NA,NA,NA
1102015,"median","3",129500,201250,398500,325000,245000,375000,384950,250000,345000,350000
1102015,"median","Total",129500,201250,398500,285000,245000,361634,384950,250000,335000,350000
1102015,"median","2",NA,NA,NA,267500,NA,325317,NA,NA,125000,NA
1102016,"median","3",95000,207000,165000,171000,303500,332000,325000,395000,327000,282500
1102016,"median","Total",95000,194000,161500,158000,282000,329000,317500,316250,315000,285000
1102016,"median","2",NA,107500,104000,88000,233450,263000,281500,268000,295440,375500
1102016,"median","0",NA,NA,145000,NA,NA,NA,NA,NA,NA,NA
1102016,"median","1",NA,NA,NA,NA,NA,NA,141500,170000,NA,199000
1102017,"median","2",170500,120000,120000,197500,295000,286000,354500,183000,352500,289000
1102017,"median","3",177250,201000,235950,290000,310000,358000,401000,439000,425000,415000
1102017,"median","Total",177250,192250,233000,274000,3e+05,345000,397500,421450,420750,411700
1102017,"median","1",NA,NA,NA,159000,NA,320000,231500,NA,NA,NA
1102018,"median","2",3e+05,143500,175000,137000,182750,324950,184000,243250,282500,262500
1102018,"median","3",2e+05,275000,215000,282500,325000,504500,468250,517500,341000,472500
1102018,"median","Total",203000,244950,215000,280000,296500,413750,447450,399000,3e+05,465000
1102018,"median","1",NA,73000,NA,NA,115000,NA,NA,344000,NA,NA
1102019,"median","3",150000,324750,165000,505000,311000,343750,385000,402500,342000,410000
1102019,"median","Total",150000,316000,165000,505000,286750,343750,339500,402500,342000,410000
1102019,"median","2",NA,316000,NA,NA,215500,NA,160000,NA,NA,NA
1102020,"median","3",NA,NA,4e+05,245000,NA,NA,485000,590000,NA,NA
1102020,"median","Total",NA,NA,4e+05,210000,NA,NA,485000,590000,349000,NA
1102020,"median","2",NA,NA,NA,135000,NA,NA,NA,NA,349000,NA
1102021,"median","3",127000,250000,549900,98000,233750,645000,360500,494450,NA,650000
