"dguid","price","beds","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1103065,"median","Total",166500,145000,159000,169000,205250,240000,280000,279000,299900,290000
1103065,"median","2",NA,NA,232500,155000,176500,214500,179000,270000,195000,223750
1103065,"median","0",NA,NA,NA,NA,NA,NA,NA,83000,NA,71500
1103066,"median","3",158000,70000,1e+05,203500,147000,123000,710000,549000,NA,224950
1103066,"median","Total",158000,70000,88000,203500,147000,123000,371000,549000,NA,224950
1103066,"median","2",NA,NA,88000,NA,NA,NA,330500,NA,NA,NA
1103067,"median","3",126000,150000,147500,177000,217500,257900,365000,312500,325000,310000
1103067,"median","Total",126000,140829,143250,152500,215000,251000,365000,299450,307000,302000
1103067,"median","2",NA,135829,123750,104750,140000,225500,252000,251000,257000,282500
1103067,"median","1",NA,NA,95000,NA,NA,141000,NA,123000,240000,NA
1103067,"median","0",NA,NA,NA,NA,NA,265000,NA,NA,NA,NA
1103068,"median","3",NA,457500,290000,NA,NA,NA,NA,NA,NA,858000
1103068,"median","Total",NA,457500,290000,NA,NA,NA,NA,NA,NA,858000
11,"average","0",55000,74750,92833.3333333333,78500,NA,268875,103700,79750,159000,106000
11,"average","1",127250,111791.666666667,99538.4615384615,106081.818181818,151170.833333333,160707.692307692,210289.285714286,206785.714285714,216740,213393.333333333
11,"average","2",147962.929292929,159709.585253456,162453.534031414,184377.202970297,208548.603524229,252847.814671815,285413.218009479,284072.614213198,296175.141700405,278298.296943231
11,"average","3",203303.510538642,238884.050184502,240548.439973615,273738.219402985,319584.526141628,375078.844164038,428620.912420382,423290.321533923,432665.560747664,432349.05704408
11,"average","Total",192378.882797732,226691.037783375,230330.857473928,260692.803215434,302985.727582293,354984.766275347,403517.648432288,397969.969105691,405447.146084337,404185.946581197
1101,"average","2",153875,168140,165255,180233.333333333,202192.307692308,250837.5,264887.5,262775,284281.787878788,266650.277777778
1101,"average","3",212227.128205128,257790.382022472,224457.860335196,264197.333333333,308164.98245614,384629.913043478,404877.178343949,409525.386206897,433800,394264.777777778
1101,"average","Total",202294.85106383,246636.079207921,214444.180487805,250472.451612903,290001.04950495,356199.225352113,382891.443243243,391737.460606061,405414.130890052,364023.742857143
1101,"average","1",NA,142750,88250,84966.6666666667,125400,109250,351000,NA,190000,219750
1101,"average","0",NA,NA,62500,NA,NA,NA,104950,NA,NA,NA
1102,"average","0",55000,85000,138500,78500,NA,270166.666666667,75000,NA,NA,NA
1102,"average","1",127250,114333.333333333,132500,130125,175250,214875,220500,233277.777777778,268380,243400
1102,"average","2",156948.260869565,176791.644444444,180297.169811321,214798.119266055,232602.669811321,270710.102189781,302885.461538462,309804.80952381,320238.362204724,321139.603960396
1102,"average","3",203951.09057971,256043.241717791,269509.074626866,304138.686092715,343386.323529412,407656.152601156,465869.652719665,461780.42408377,466700.82788296,461762.851515152
1102,"average","Total",193762.732758621,244036.768586387,259323.041794088,291626.670114943,330403.315280464,386527.8820059,437878.241500586,435559.225618632,439222.093969144,441795.798955614
1103,"average","2",117631.818181818,119795.290322581,132492.692307692,137762.31884058,183448.947368421,221082.432432432,263247,252462.5,265559.643678161,235823.913043478
1103,"average","3",198600.357142857,190955.685082873,192598.871244635,223420.492957746,272434.507109005,313086.767346939,368464.942408377,356203.655518395,372751.258258258,392924.397790055
1103,"average","Total",185307.014925373,178908.969837587,183692.775925926,210569.599198397,254075.307984791,298397.933682373,348216.698481562,332373.526455026,348665.938679245,357143.265658747
1103,"average","0",NA,64500,77500,NA,NA,265000,129900,79750,159000,106000
1103,"average","1",NA,85500,96571.4285714286,97875,138733.333333333,118050,152137.5,159100,148500,184150
1101002,"average","1",NA,160000,NA,NA,NA,NA,NA,NA,NA,NA
1101002,"average","3",NA,339350,177950,NA,553333.333333333,448475,430000,279500,601200,252500
1101002,"average","Total",NA,303480,177950,NA,468975,344816.666666667,402500,241000,505857.142857143,252500
1101002,"average","2",NA,NA,NA,NA,215900,137500,320000,164000,267500,NA
1101003,"average","3",198500,389333.333333333,191983.333333333,218812.5,301037,276000,385408.416666667,462980,449800,356166.666666667
1101003,"average","Total",198500,389333.333333333,193420,218812.5,252580.222222222,257000,377300.076923077,462980,449800,335285.714285714
1101003,"average","2",NA,NA,195575,NA,203500,231666.666666667,280000,NA,NA,210000
1101003,"average","1",NA,NA,NA,NA,60000,NA,NA,NA,NA,NA
1101004,"average","3",77829,191633.333333333,151000,217666.666666667,257333.333333333,427500,344500,293750,287500,383333.333333333
1101004,"average","Total",77829,191633.333333333,151000,217666.666666667,257333.333333333,427500,344500,293750,287500,383333.333333333
1101005,"average","2",155000,NA,127500,150000,82500,249250,NA,287750,530000,351000
1101005,"average","3",198633.333333333,266942.857142857,192980,252182,274661.538461538,313772.727272727,364505.769230769,437069.230769231,302750,467428.571428571
1101005,"average","Total",187725,266942.857142857,182066.666666667,230146.111111111,260935.714285714,298333.333333333,364505.769230769,401935.294117647,328000,441555.555555556
1101005,"average","1",NA,NA,NA,59900,NA,155000,NA,NA,NA,NA
1101020,"average","2",NA,154900,NA,NA,NA,NA,NA,NA,332000,NA
1101020,"average","Total",NA,154900,NA,NA,NA,NA,480000,NA,332000,NA
1101020,"average","3",NA,NA,NA,NA,NA,NA,480000,NA,NA,NA
1101025,"average","3",NA,266250,251950,NA,NA,284500,NA,161500,NA,292950
1101025,"average","Total",NA,266250,254300,NA,NA,284500,NA,161500,NA,292950
1101025,"average","2",NA,NA,259000,NA,NA,NA,NA,NA,NA,NA
1101027,"average","2",NA,153000,87000,93000,295000,117250,NA,NA,NA,234000
1101027,"average","Total",NA,153000,253500,263333.333333333,272666.666666667,341071.428571429,282500,320125,171666.666666667,185475
1101027,"average","3",NA,NA,309000,348500,261500,430600,282500,320125,171666.666666667,169300
1101030,"average","3",NA,NA,337500,NA,467450,264375,320000,697500,438250,254333.333333333
1101030,"average","Total",NA,NA,337500,340000,467450,233300,320000,697500,438250,264600
1101030,"average","2",NA,NA,NA,340000,NA,NA,NA,NA,NA,280000
1101030,"average","1",NA,NA,NA,NA,NA,109000,NA,NA,NA,NA
1101033,"average","2",245000,160000,282000,132000,NA,NA,270000,240000,521000,550000
1101033,"average","3",83000,299833.333333333,232000,236375,211500,380333.333333333,428600,450000,519700,403833.333333333
1101033,"average","Total",164000,279857.142857143,242000,215500,211500,380333.333333333,402166.666666667,397500,519916.666666667,424714.285714286
1101035,"average","2",144750,NA,237000,246000,217666.666666667,224100,295000,432500,339666.666666667,NA
1101035,"average","3",288400,254695.652173913,232632.285714286,313321.428571429,347040,411668.166666667,479704.15,488175,428904.166666667,520626.315789474
1101035,"average","Total",267878.571428571,254695.652173913,232753.611111111,304906.25,335950.857142857,384872.714285714,455612.304347826,483113.636363636,418988.888888889,520626.315789474
1101036,"average","3",NA,318500,251867.7,305542.818181818,302375,653500,473000,449566.666666667,377990.909090909,310000
1101036,"average","Total",NA,318500,251867.7,273426.5,302375,556833.333333333,434571.428571429,449566.666666667,377990.909090909,248000
1101036,"average","1",NA,NA,NA,85000,NA,NA,NA,NA,NA,NA
1101036,"average","2",NA,NA,NA,191000,NA,363500,204000,NA,NA,186000
1101037,"average","2",145750,222900,NA,174500,110000,232250,NA,485000,265000,150000
1101037,"average","3",348750,232650,240000,332500,208222.222222222,346285.714285714,397045.454545455,386666.666666667,359000,489100
1101037,"average","Total",247250,231257.142857143,240000,279833.333333333,190363.636363636,320944.444444444,397045.454545455,411250,343333.333333333,432583.333333333
1101040,"average","3",277500,285386.434782609,280525,389230.769230769,425744.705882353,547997.2,527359.444444444,538081.25,647526.666666667,411111.111111111
1101040,"average","Total",277500,276440.296296296,273729.411764706,377571.428571429,406245.263157895,527034.444444444,501223.5,538081.25,600550,411111.111111111
1101040,"average","1",NA,170000,NA,NA,NA,NA,312000,NA,NA,NA
1101040,"average","2",NA,243333.333333333,165000,226000,240500,265000,220000,NA,365666.666666667,NA
1101043,"average","2",130000,165000,NA,NA,262500,299600,295000,NA,182300,257410
1101043,"average","Total",130000,186909.090909091,233492.307692308,199500,294022.727272727,297326.875,408083.333333333,281000,415050,359191.818181818
1101043,"average","1",NA,125000,NA,NA,NA,NA,NA,NA,NA,NA
1101043,"average","3",NA,196222.222222222,233492.307692308,199500,297175,296802.307692308,418363.636363636,281000,468761.538461538,369370
1101044,"average","2",NA,171000,NA,68000,NA,NA,70000,183000,299999,272000
1101044,"average","3",NA,120000,485000,NA,157500,233250,NA,295000,345000,210000
1101044,"average","Total",NA,154000,202666.666666667,68000,157500,205200,70000,239000,322499.5,241000
1101044,"average","0",NA,NA,65000,NA,NA,NA,NA,NA,NA,NA
1101044,"average","1",NA,NA,58000,NA,NA,93000,NA,NA,NA,NA
1101045,"average","2",120000,137500,134985.714285714,169016.666666667,201630,266590.476190476,314162.5,226944.444444444,251360,251789.473684211
1101045,"average","3",147421.933333333,230149.206349206,198951.851851852,219758.018867925,268490.384615385,366345.481927711,348304.7,351413.964285714,394580,362017.244897959
1101045,"average","Total",145708.0625,220577.142857143,185281.538461538,212854.583333333,250678.787878788,339285.747663551,334223.294117647,334179.723076923,356408.955223881,325025.625
1101045,"average","1",NA,116000,98333.3333333333,110000,141750,99500,390000,NA,190000,219750
1101045,"average","0",NA,NA,60000,NA,NA,NA,104950,NA,NA,NA
1101048,"average","3",NA,140000,147666.666666667,NA,249800,237175,195333.333333333,NA,NA,NA
1101048,"average","Total",NA,140000,147180,130000,249800,237175,189000,NA,255000,NA
1101048,"average","2",NA,NA,146450,130000,NA,NA,170000,NA,255000,NA
1101050,"average","3",NA,NA,161500,NA,NA,NA,NA,NA,NA,NA
1101050,"average","Total",NA,NA,161500,NA,NA,NA,NA,NA,NA,NA
1101052,"average","2",NA,152000,NA,153750,164400,249750,246666.666666667,125000,210000,310000
1101052,"average","3",NA,394950,213368.75,268916.666666667,356333.333333333,410245.454545455,343250,455999.8,488500,NA
1101052,"average","Total",NA,273475,213368.75,240125,308350,385553.846153846,301857.142857143,400833.166666667,432800,310000
1102002,"average","2",163000,159708.333333333,150550,61500,186500,175571.428571429,219250,263800,254180,194500
1102002,"average","3",194666.666666667,219219.444444444,244032.592592593,249217.24137931,322645.142857143,389411.714285714,368077.2,270928.571428571,393807.692307692,260100
1102002,"average","Total",179964.285714286,195415,227035.757575758,237106.451612903,315285.945945946,353771.666666667,332872.8125,269052.631578947,355022.222222222,238454.545454545
1102002,"average","1",NA,NA,NA,NA,NA,NA,191000,NA,NA,350000
1102003,"average","3",NA,175000,200700,NA,320000,202500,369000,289500,535000,340000
1102003,"average","Total",NA,175000,200700,NA,320000,202500,369000,289500,535000,451000
1102003,"average","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,562000
1102005,"average","3",NA,NA,123500,NA,380000,NA,NA,NA,NA,499000
1102005,"average","Total",NA,NA,123500,NA,380000,NA,NA,NA,220000,499000
1102005,"average","2",NA,NA,NA,NA,NA,NA,NA,NA,220000,NA
1102010,"average","2",137000,180000,166000,218333.333333333,196833.333333333,328500,250000,NA,160000,318775
1102010,"average","3",195500,258400,277191.666666667,288107.142857143,320560,456976.470588235,492983.333333333,451445.454545455,412954.545454545,500531.1875
1102010,"average","Total",172100,242744.444444444,272744,275794.117647059,299938.888888889,443452.631578947,458271.428571429,451445.454545455,391875,450961.318181818
1102010,"average","0",NA,55000,NA,NA,NA,NA,NA,NA,NA,NA
1102011,"average","3",192666.666666667,502000,868000,284666.666666667,398333.333333333,314400,1666500,395950,3e+05,464375
1102011,"average","Total",192666.666666667,502000,868000,284666.666666667,398333.333333333,314400,1666500,395950,3e+05,464375
1102013,"average","3",333500,NA,3e+05,380000,320000,NA,569916.666666667,669000,584500,510000
1102013,"average","Total",333500,NA,3e+05,380000,320000,NA,551562.5,669000,584500,510000
1102013,"average","2",NA,NA,NA,NA,NA,NA,496500,NA,NA,NA
1102015,"average","3",129500,217875,398500,325000,251700,508333.333333333,522225,334000,350000,354333.333333333
1102015,"average","Total",129500,217875,398500,305833.333333333,251700,435126.8,522225,334000,293750,354333.333333333
1102015,"average","2",NA,NA,NA,267500,NA,325317,NA,NA,125000,NA
1102016,"average","3",100300,191544.357142857,224088,205426.5,320640.909090909,344627.272727273,364170.588235294,404164.705882353,376300,353015.625
1102016,"average","Total",100300,181038.8125,212685.714285714,199834.761904762,313375,331418.518518519,344770,366804.166666667,360972.476190476,347276.315789474
1102016,"average","2",NA,107500,104000,88000,233450,273300,281500,293750,347038.363636364,375500
1102016,"average","0",NA,NA,145000,NA,NA,NA,NA,NA,NA,NA
1102016,"average","1",NA,NA,NA,NA,NA,NA,141500,170000,NA,199000
1102017,"average","2",170500,178500,162142.857142857,220000,288071.428571429,277958.333333333,346000,259928.571428571,340000,343650
1102017,"average","3",193764.285714286,224807.272727273,245076.206896552,304219.971428571,341322.448979592,412034.083333333,466663.414634146,457373.170731707,466106.52173913,428067.222222222
1102017,"average","Total",190856.25,219579.032258065,236144.923076923,288730.928571429,334666.071428571,388733.493150685,451058.695652174,428579.166666667,451555.769230769,412718.636363636
1102017,"average","1",NA,NA,NA,159000,NA,320000,231500,NA,NA,NA
1102018,"average","2",3e+05,143500,236333.333333333,186333.333333333,182750,330150,184000,272583.333333333,375316.666666667,250475
1102018,"average","3",183142.857142857,326337.615384615,258252.173913043,318218,372329.032258065,510838.125,505873.928571429,578368.75,359428.571428571,552937.5
1102018,"average","Total",197750,287649.3125,255723.076923077,301015.652173913,353608.823529412,474700.5,465639.6875,488408.695652174,366761.538461538,492445
1102018,"average","1",NA,73000,NA,NA,115000,NA,NA,344000,NA,NA
1102019,"average","3",150000,407725,341666.666666667,501333.333333333,311833.333333333,335375,476000,402500,342000,335833.333333333
1102019,"average","Total",150000,389380,341666.666666667,501333.333333333,287750,335375,397000,402500,342000,335833.333333333
1102019,"average","2",NA,316000,NA,NA,215500,NA,160000,NA,NA,NA
1102020,"average","3",NA,NA,4e+05,210625,NA,NA,486000,590000,NA,NA
1102020,"average","Total",NA,NA,4e+05,195500,NA,NA,486000,590000,349000,NA
1102020,"average","2",NA,NA,NA,135000,NA,NA,NA,NA,349000,NA
1102021,"average","3",127000,250000,549900,98000,274375,531666.666666667,360500,494450,NA,650000
1102021,"average","Total",127000,250000,359950,98000,274375,495000,340333.333333333,494450,450000,650000
1102021,"average","2",NA,NA,170000,NA,NA,NA,3e+05,NA,450000,NA
1102021,"average","0",NA,NA,NA,NA,NA,385000,NA,NA,NA,NA
1102022,"average","3",175900,241408.333333333,260934.545454545,276680,325839,369732.916666667,490845.571428571,433687.5,416472.727272727,428833.333333333
1102022,"average","Total",175900,224992.857142857,244940,276680,325839,369732.916666667,485739.875,428581.818181818,416472.727272727,403500
1102022,"average","2",NA,126500,69000,NA,NA,NA,450000,414966.666666667,NA,327500
1102032,"average","2",120000,199000,195000,NA,NA,315000,NA,165000,250000,160000
1102032,"average","3",146500,210500,NA,383400,270000,NA,399000,174900,720000,419950
1102032,"average","Total",137666.666666667,206666.666666667,195000,383400,270000,315000,297000,169950,485000,289975
1102032,"average","1",NA,NA,NA,NA,NA,NA,195000,NA,NA,NA
1102034,"average","3",72000,173580,113225,204000,203300,405000,495500,NA,405000,484500
1102034,"average","Total",72000,173580,113225,204000,232225,405000,495500,NA,405000,484500
1102034,"average","2",NA,NA,NA,NA,319000,NA,NA,NA,NA,NA
1102037,"average","3",250750,247166.666666667,327875,410466,402000,449900,693500,594250,810000,511666.666666667
1102037,"average","Total",250750,233857.142857143,308300,410466,402000,370966.666666667,606600,542500,810000,438833.333333333
1102037,"average","2",NA,154000,230000,NA,NA,285333.333333333,259000,439000,NA,366000
1102037,"average","1",NA,NA,NA,NA,NA,470000,NA,NA,NA,NA
1102040,"average","3",201000,205172.727272727,279500,304250,239600,396279.5,461250,413750,369628.571428571,445666.666666667
1102040,"average","Total",201000,205485.714285714,279500,285071.428571429,239600,379254.090909091,414833.333333333,413750,374811.111111111,431800
1102040,"average","2",NA,206633.333333333,NA,170000,NA,209000,322000,NA,392950,307000
1102043,"average","3",NA,217666.666666667,252776.333333333,301333.333333333,339500,330000,NA,665000,496725,293000
1102043,"average","Total",NA,217666.666666667,261707.25,301333.333333333,339500,360000,NA,665000,496725,293000
1102043,"average","2",NA,NA,288500,NA,NA,390000,NA,NA,NA,NA
1102045,"average","3",252300,295715.384615385,297050,329966.666666667,348600,361533.333333333,461809.090909091,453312.5,445642.857142857,437666.666666667
1102045,"average","Total",252300,295715.384615385,295409.090909091,329966.666666667,312461.538461538,348528.571428571,443366.666666667,462650,445642.857142857,437666.666666667
1102045,"average","2",NA,NA,279000,NA,192000,270500,240500,5e+05,NA,NA
1102046,"average","3",192250,204260,420600,409000,385133.333333333,428150,647571.428571429,556933.333333333,532000,458987.5
1102046,"average","Total",192250,242633.333333333,400525,371200,385133.333333333,428150,544000,556933.333333333,495222.222222222,466322.222222222
1102046,"average","2",NA,434500,260000,220000,NA,NA,302333.333333333,NA,421666.666666667,525000
1102050,"average","3",93000,146000,NA,310000,276000,NA,279900,482500,622500,387000
1102050,"average","Total",93000,115666.666666667,NA,249500,276000,235000,252450,482500,622500,387000
1102050,"average","2",NA,100500,NA,189000,NA,235000,NA,NA,NA,NA
1102050,"average","1",NA,NA,NA,NA,NA,NA,225000,NA,NA,NA
1102051,"average","3",NA,239083.333333333,191750,456500,294375,412500,452500,546250,393400,522000
1102051,"average","Total",NA,239083.333333333,191750,456500,294375,412500,452500,546250,393400,522000
1102055,"average","2",195000,NA,124000,260000,NA,286000,NA,340000,NA,NA
1102055,"average","Total",195000,346000,217714.285714286,298125,445000,651125,638360,572499.75,1385000,513300
1102055,"average","3",NA,346000,255200,310833.333333333,445000,703285.714285714,638360,649999.666666667,1385000,513300
1102057,"average","2",165166.666666667,175500,163800,NA,NA,NA,207600,NA,235000,NA
1102057,"average","3",211300,223250,245583.333333333,325166.666666667,316000,NA,445000,530000,230000,285000
1102057,"average","Total",186136.363636364,199375,208409.090909091,325166.666666667,316000,NA,365866.666666667,530000,232500,285000
1102059,"average","2",85500,165000,NA,NA,NA,NA,NA,425000,NA,NA
1102059,"average","3",74500,199950,215000,156833.333333333,119500,249500,NA,333725,4e+05,344000
1102059,"average","Total",80000,188300,215000,156833.333333333,119500,249500,NA,351980,4e+05,344000
1102061,"average","2",160000,320000,169250,275000,224000,314000,NA,398750,325000,4e+05
1102061,"average","Total",160000,264666.666666667,195388.888888889,237750,278333.333333333,447750,497537.6,392900,361450,503000
1102061,"average","3",NA,237000,206321.428571429,243125,305500,492333.333333333,560672,443500,370562.5,606000
1102061,"average","1",NA,NA,145000,179000,NA,NA,245000,280000,NA,NA
1102064,"average","2",109930,140333.333333333,93750,198750,121500,189540,232875,309500,243600,171225
1102064,"average","3",184400,236390,274615,235751.724137931,348571.428571429,416288.461538462,505876.785714286,417666.666666667,421209.523809524,407894.736842105
1102064,"average","Total",177630,223860.869565217,258172.727272727,233364.516129032,333433.333333333,371428.125,464728.787878788,396033.333333333,387053.846153846,366734.782608696
1102064,"average","1",NA,NA,NA,NA,NA,114500,240000,NA,NA,NA
1102066,"average","3",NA,227333.333333333,242700,226250,210000,358687.5,406625,462500,361785.714285714,165800
1102066,"average","Total",NA,227333.333333333,252200,227357.142857143,199500,358687.5,406625,462500,363312.5,282400
1102066,"average","2",NA,NA,285450,234000,189000,NA,NA,NA,374000,399000
1102067,"average","2",155300,134380,221500,183055.555555556,240844.4,271322.222222222,368428.571428571,445333.333333333,350580,307000
1102067,"average","3",261000,299796.666666667,237823.529411765,328629.487179487,367797.727272727,453429.277777778,470249.347826087,493769.565217391,493371.35483871,440919.96
1102067,"average","Total",212954.545454545,276165.714285714,232560.975609756,296552.040816327,354843.306122449,415018.565217391,446491.166666667,488180.769230769,473539.222222222,422448.24137931
1102067,"average","1",NA,NA,120000,NA,NA,NA,NA,NA,NA,NA
1102067,"average","0",NA,NA,NA,67000,NA,325500,NA,NA,NA,NA
1102068,"average","3",182100,238355,257980.64516129,299402.083333333,327154.838709677,395615.853658537,510774.074074074,465819.80952381,496569.230769231,478646.9
1102068,"average","Total",182100,219413.488372093,245997.142857143,266301.5625,294600,365103,435489.717948718,440168.64,464119.35483871,442928.896551724
1102068,"average","2",NA,122000,153125,175142.857142857,130600,251983.333333333,281319.9,305500,309250,376500
1102068,"average","1",NA,NA,NA,110000,2e+05,174333.333333333,190000,NA,239900,260000
1102069,"average","3",132166.666666667,211600,272750,373360,219000,263008.142857143,514000,NA,449000,NA
1102069,"average","Total",132166.666666667,201083.333333333,272750,373360,219000,263008.142857143,414666.666666667,NA,454666.666666667,NA
1102069,"average","2",NA,148500,NA,NA,NA,NA,216000,NA,457500,NA
1102070,"average","3",185000,195000,NA,397500,NA,428625,495000,428750,NA,269000
1102070,"average","Total",185000,195000,212000,305000,199900,368933.333333333,495000,380833.333333333,279000,269000
1102070,"average","2",NA,NA,212000,120000,199900,249550,NA,285000,279000,NA
1102071,"average","3",215200,204259.375,217783.578947368,248820.421052632,438056.1875,404417.24137931,381712,363526.666666667,407368.75,476208.291666667
1102071,"average","Total",215200,195764.864864865,212947.304347826,238634.153846154,396728.523809524,361797.297297297,369303.448275862,349757.894736842,389231.578947368,462980.730769231
1102071,"average","1",NA,115000,NA,72500,NA,188500,235000,NA,NA,NA
1102071,"average","2",NA,148000,189975,234066.666666667,264480,218580,310666.666666667,298125,292500,304250
1102072,"average","3",NA,241000,215000,410000,303800,365000,594900,299000,585000,527666.666666667
1102072,"average","Total",NA,241000,215000,232333.333333333,303800,365000,594900,299000,585000,527666.666666667
1102072,"average","0",NA,NA,NA,90000,NA,NA,NA,NA,NA,NA
1102072,"average","2",NA,NA,NA,197000,NA,NA,NA,NA,NA,NA
1102073,"average","3",259166.666666667,311944.444444444,363366.666666667,333942.363636364,351159.090909091,459333.333333333,526500,568450,545781.25,514890
1102073,"average","Total",259166.666666667,301520,349093.75,320720.461538462,351159.090909091,394500,495777.777777778,568450,513200,516658.333333333
1102073,"average","2",NA,207700,135000,248000,NA,2e+05,250000,NA,382875,525500
1102075,"average","1",181500,NA,NA,NA,216250,199500,255000,217583.333333333,299000,170000
1102075,"average","2",144921.052631579,189843.534883721,187440,248173.222222222,262601.976744186,305812.857142857,324259.090909091,333972.727272727,314821.428571429,311062.5
1102075,"average","3",205027.79047619,265522.017699115,282988.205357143,320003.54964539,343335.827777778,402264.553571429,462841.87012987,475000.698347107,480905.745689655,486913.648464164
1102075,"average","Total",195703.344,256632.46997389,276371.293628809,310118.642201835,333557.206388206,392126.91689008,443378.359550562,452942.238434164,457355.122222222,472645.279874214
1102075,"average","0",NA,115000,NA,NA,NA,NA,NA,NA,NA,NA
1102080,"average","0",55000,NA,132000,NA,NA,NA,75000,NA,NA,NA
1102080,"average","1",73000,NA,NA,NA,124166.666666667,186500,273000,NA,205000,238000
1102080,"average","2",161300,203633.333333333,166793.333333333,173946.153846154,175603.846153846,249673.684210526,300357.142857143,258757.142857143,288250,370777.777777778
1102080,"average","3",224401,266130.341463415,275498.591549296,308101.492537313,368159.101265823,435856.896103896,435069.402985075,472108.948717949,415115.511111111,403640.464788732
1102080,"average","Total",203249.622222222,256465.855670103,255106.896551724,286301.25,334104.410526316,396817.329896907,406056.024096386,397435.816666667,370980.852941176,397944.111111111
1102085,"average","3",229454.166666667,258147.5,253323.703703704,299736.434782609,329113.459183673,367745.846153846,479165.70212766,432711.764705882,497097.052631579,487315.625
1102085,"average","Total",229454.166666667,233566,245380.108695652,299736.434782609,321269.579439252,349795.789473684,447594.327272727,428885,487373.523809524,446384.146341463
1102085,"average","1",NA,155000,NA,NA,NA,NA,210000,NA,NA,NA
1102085,"average","2",NA,133044.444444444,186886.363636364,NA,235858.444444444,258100,269557.142857143,331302.5,395000,300850
1102085,"average","0",NA,NA,NA,NA,NA,1e+05,NA,NA,NA,NA
1103002,"average","2",64000,93000,255000,221500,3e+05,250000,485000,NA,260000,410000
1103002,"average","3",304500,182487.5,253277.777777778,237300,267875,312816.666666667,468304.545454545,348400,242750,352800
1103002,"average","Total",224333.333333333,164590,239500,233350,274300,303842.857142857,469695.833333333,348400,248500,362333.333333333
1103002,"average","0",NA,NA,1e+05,NA,NA,NA,NA,NA,NA,NA
1103003,"average","2",78500,136250,260000,130333.333333333,192580,227250,410000,253180,314831.666666667,270000
1103003,"average","3",151500,205290.909090909,200466.666666667,293115,244118.523809524,360914.285714286,718250,411190,424033.333333333,381099.625
1103003,"average","Total",115000,188764.285714286,204187.5,271882.608695652,234207.269230769,344206.25,684000,358520,392832.857142857,368755.222222222
1103003,"average","1",NA,112000,NA,NA,NA,NA,NA,NA,NA,NA
1103004,"average","3",184900,209925,346925,364900,370971.428571429,393087.5,555850,476666.666666667,583580,570333.333333333
1103004,"average","Total",184900,193140,330900,362181.818181818,316180,361670,480661.111111111,460000,583580,495250
1103004,"average","2",NA,126000,202700,335000,188333.333333333,236000,217500,360000,NA,270000
1103005,"average","3",161000,248250,316500,194600,307750,253150,360083.333333333,437336,324650,241666.666666667
1103005,"average","Total",161000,232300,256100,174500,288142.857142857,254128.571428571,323944.444444444,365168.8,324650,267000
1103005,"average","2",NA,168500,179900,141000,170500,260000,251666.666666667,NA,NA,305000
1103005,"average","1",NA,NA,211500,NA,NA,NA,NA,NA,NA,NA
1103005,"average","0",NA,NA,NA,NA,NA,NA,NA,76500,NA,NA
1103007,"average","2",176000,82000,128500,112250,216975,NA,316633.333333333,234416.666666667,348333.333333333,230500
1103007,"average","3",106000,234688.888888889,202621.739130435,257250,299373.684210526,319739.285714286,386493.548387097,380775,376473.529411765,375800
1103007,"average","Total",129333.333333333,219420,190288.888888889,248187.5,285043.47826087,319739.285714286,380329.411764706,340859.090909091,360478.571428571,354274.074074074
1103007,"average","1",NA,NA,92000,NA,NA,NA,NA,NA,125000,NA
1103008,"average","3",93000,259900,256966.666666667,NA,NA,NA,362000,204500,NA,475000
1103008,"average","Total",93000,259900,256966.666666667,NA,NA,NA,362000,204500,NA,475000
1103014,"average","3",128750,195090.909090909,219091.666666667,223718.75,184866.666666667,277925,397678.571428571,392928.571428571,302153.333333333,422691.666666667
1103014,"average","Total",128750,189658.333333333,198903.448275862,216382.352941176,188988.235294118,266347.826086957,355855.555555556,352500,294605.882352941,411100
1103014,"average","2",NA,129900,102000,99000,193625,239250,252500,211000,238000,272000
1103014,"average","1",NA,NA,NA,NA,NA,89000,203000,NA,NA,NA
1103014,"average","0",NA,NA,NA,NA,NA,NA,129900,NA,NA,NA
1103015,"average","3",156270,170000,176500,240000,267400,666333.333333333,396100,482666.666666667,NA,260000
1103015,"average","Total",156270,159625,176500,207250,227500,564725,405083.333333333,482666.666666667,277000,260000
1103015,"average","1",NA,128500,NA,NA,NA,NA,NA,NA,NA,NA
1103015,"average","2",NA,NA,NA,174500,127750,259900,450000,NA,277000,NA
1103018,"average","2",NA,94500,NA,113500,NA,135000,NA,NA,NA,NA
1103018,"average","3",NA,80500,72000,NA,182500,161500,313000,3e+05,290000,381666.666666667
1103018,"average","Total",NA,87500,72000,113500,182500,148250,313000,3e+05,290000,381666.666666667
1103020,"average","2",90625,93000,135666.666666667,204000,162857.142857143,233833.333333333,216122.5,288750,247000,238000
1103020,"average","3",145820,212188,198133.108108108,209055.555555556,291845.535714286,319036,389676.666666667,354642.785714286,394270.833333333,408500.423076923
1103020,"average","Total",121288.888888889,203359.259259259,190071.341463415,204897.435897436,256912.837837838,296059.375,357910.833333333,332631.526315789,373232.142857143,375812.84375
1103020,"average","0",NA,NA,55000,NA,NA,NA,NA,NA,NA,NA
1103020,"average","1",NA,NA,NA,57000,97050,95000,165000,2e+05,NA,215000
1103021,"average","3",90725,139714.285714286,142000,204857.142857143,239423.076923077,328928.571428571,348316.666666667,242150,316875,393642.857142857
