"CSDUID","CDUID","PRUID","area_km2","cold_extrapolated","tnm20_2025","tnm20_2050","tnm15_2025","tnm15_2050","id_2025","id_2050","tnm20_2025_cd_mean","tnm20_2050_cd_mean","tnm15_2025_cd_mean","tnm15_2050_cd_mean","id_2025_cd_mean","id_2050_cd_mean","tnm20_2025_pr_mean","tnm20_2050_pr_mean","tnm15_2025_pr_mean","tnm15_2050_pr_mean","id_2025_pr_mean","id_2050_pr_mean","tnm20_2025_pctile_national","tnm20_2050_pctile_national","tnm15_2025_pctile_national","tnm15_2050_pctile_national","id_2025_pctile_national","id_2050_pctile_national"
"4712833","4712","47",158.315298972138,FALSE,12,10,66.625,61.375,106.25,101.5,12.2491760333878,9.84356652743306,62.7758148962736,57.5175775547749,98.2747445369757,93.7890395792464,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,77.6,75.1,79.3,79,80.1,80.2
"4712837","4712","47",2.79695085621694,FALSE,12,10,66,61,105,100,12.2491760333878,9.84356652743306,62.7758148962736,57.5175775547749,98.2747445369757,93.7890395792464,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,77.6,75.1,78.2,78.5,78.2,78.2
"4712870","4712","47",0.850278540558337,FALSE,13,10,66,60,105,99,12.2491760333878,9.84356652743306,62.7758148962736,57.5175775547749,98.2747445369757,93.7890395792464,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,82.1,75.1,78.2,76.9,78.2,77.2
"4714059","4714","47",1416.73141552215,FALSE,17,15,80.6666666666667,72,121.205128205128,114.589743589744,17.2108685628167,14.9125698221021,80.5632197316999,73.3831512759733,121.627616895767,114.855863578959,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,93,95,93,91.3,93,92.6
"4714061","4714","47",0.52871727734489,FALSE,17,15,79,69,119,112,17.2108685628167,14.9125698221021,80.5632197316999,73.3831512759733,121.627616895767,114.855863578959,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,93,95,92.1,88.9,91.6,90.7
"4714062","4714","47",0.870260291372822,FALSE,17,15,79,69,117,111,17.2108685628167,14.9125698221021,80.5632197316999,73.3831512759733,121.627616895767,114.855863578959,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,93,95,92.1,88.9,90.1,89.7
"4714067","4714","47",2603.69021537133,FALSE,17.2608695652174,15.1014492753623,82.1449275362319,73.3333333333333,120.202898550725,112.391304347826,17.2108685628167,14.9125698221021,80.5632197316999,73.3831512759733,121.627616895767,114.855863578959,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,94,96,93.4,92.2,92.4,91.1
"4714068","4714","47",3.94541104261284,FALSE,19,15,82.5,73.5,119.5,112,17.2108685628167,14.9125698221021,80.5632197316999,73.3831512759733,121.627616895767,114.855863578959,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,95.5,95,93.5,92.3,92,90.7
"4713014","4713","47",0.930240183325033,FALSE,11,9,58,52,88,79,11.7462673924968,9.72066260525373,61.6807108733473,57.0730881755623,97.7369193304533,92.1874600158055,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,71.2,69.5,66,66.1,59.5,56.8
"4713016","4713","47",630.376531453826,FALSE,10.9,9.9,59.05,54.75,90.85,84.8,11.7462673924968,9.72066260525373,61.6807108733473,57.0730881755623,97.7369193304533,92.1874600158055,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,68.9,73.3,67.4,68.6,61.9,62.7
"4713019","4713","47",564.904097354831,FALSE,11.7,9.25,59.4,56.15,92.85,86.85,11.7462673924968,9.72066260525373,61.6807108733473,57.0730881755623,97.7369193304533,92.1874600158055,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,75.4,71.9,67.7,70.2,64.1,64.4
"4713021","4713","47",2.61873273123013,FALSE,11,10,59,57,95,89,11.7462673924968,9.72066260525373,61.6807108733473,57.0730881755623,97.7369193304533,92.1874600158055,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,71.2,75.1,67.1,71.3,67,66.3
"4713022","4713","47",0.66922578975913,FALSE,11,9,59,56,92,86,11.7462673924968,9.72066260525373,61.6807108733473,57.0730881755623,97.7369193304533,92.1874600158055,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,71.2,69.5,67.1,70,63.3,63.7
