"year","geo","dguid","age","type","value"
2021,"Canada","1","30 to 34","total",20020
2021,"Canada","1","30 to 34","health care and related",4990
2021,"Canada","1","30 to 34","hospitals",400
2021,"Canada","1","30 to 34","nursing homes",300
2021,"Canada","1","30 to 34","senior residences",340
2021,"Canada","1","30 to 34","mix of nursing home and senior residences",55
2021,"Canada","1","30 to 34","residential care facilities",3890
2021,"Canada","1","30 to 34","correctional facilities",5945
2021,"Canada","1","30 to 34","shelters",1125
2021,"Canada","1","30 to 34","service collective",3870
2021,"Canada","1","30 to 34","lodging and rooming houses",1050
2021,"Canada","1","30 to 34","hotels, motels, and temporary accommodation",1340
2021,"Canada","1","30 to 34","other service collective",1480
2021,"Canada","1","30 to 34","religious establishments",285
2021,"Canada","1","30 to 34","hutterite colonies",2580
2021,"Canada","1","30 to 34","other",1235
2021,"Canada","1","35 to 39","total",19225
2021,"Canada","1","35 to 39","health care and related",5400
2021,"Canada","1","35 to 39","hospitals",400
2021,"Canada","1","35 to 39","nursing homes",355
2021,"Canada","1","35 to 39","senior residences",225
2021,"Canada","1","35 to 39","mix of nursing home and senior residences",65
2021,"Canada","1","35 to 39","residential care facilities",4360
2021,"Canada","1","35 to 39","correctional facilities",5145
2021,"Canada","1","35 to 39","shelters",1205
2021,"Canada","1","35 to 39","service collective",3685
2021,"Canada","1","35 to 39","lodging and rooming houses",1045
2021,"Canada","1","35 to 39","hotels, motels, and temporary accommodation",1415
2021,"Canada","1","35 to 39","other service collective",1220
2021,"Canada","1","35 to 39","religious establishments",300
2021,"Canada","1","35 to 39","hutterite colonies",2370
2021,"Canada","1","35 to 39","other",1125
2021,"Canada","1","40 to 44","total",17500
2021,"Canada","1","40 to 44","health care and related",5780
2021,"Canada","1","40 to 44","hospitals",325
2021,"Canada","1","40 to 44","nursing homes",635
2021,"Canada","1","40 to 44","senior residences",395
2021,"Canada","1","40 to 44","mix of nursing home and senior residences",130
2021,"Canada","1","40 to 44","residential care facilities",4295
2021,"Canada","1","40 to 44","correctional facilities",3795
2021,"Canada","1","40 to 44","shelters",1055
2021,"Canada","1","40 to 44","service collective",3705
2021,"Canada","1","40 to 44","lodging and rooming houses",1130
2021,"Canada","1","40 to 44","hotels, motels, and temporary accommodation",1540
2021,"Canada","1","40 to 44","other service collective",1035
2021,"Canada","1","40 to 44","religious establishments",240
2021,"Canada","1","40 to 44","hutterite colonies",1985
2021,"Canada","1","40 to 44","other",940
2021,"Canada","1","45 to 49","total",16615
2021,"Canada","1","45 to 49","health care and related",6390
2021,"Canada","1","45 to 49","hospitals",305
2021,"Canada","1","45 to 49","nursing homes",810
2021,"Canada","1","45 to 49","senior residences",425
2021,"Canada","1","45 to 49","mix of nursing home and senior residences",220
2021,"Canada","1","45 to 49","residential care facilities",4630
2021,"Canada","1","45 to 49","correctional facilities",2520
2021,"Canada","1","45 to 49","shelters",860
2021,"Canada","1","45 to 49","service collective",4025
2021,"Canada","1","45 to 49","lodging and rooming houses",1325
2021,"Canada","1","45 to 49","hotels, motels, and temporary accommodation",1555
2021,"Canada","1","45 to 49","other service collective",1140
2021,"Canada","1","45 to 49","religious establishments",280
2021,"Canada","1","45 to 49","hutterite colonies",1830
2021,"Canada","1","45 to 49","other",705
2021,"Canada","1","50 to 54","total",19765
2021,"Canada","1","50 to 54","health care and related",9195
2021,"Canada","1","50 to 54","hospitals",310
2021,"Canada","1","50 to 54","nursing homes",1470
2021,"Canada","1","50 to 54","senior residences",880
2021,"Canada","1","50 to 54","mix of nursing home and senior residences",450
2021,"Canada","1","50 to 54","residential care facilities",6080
2021,"Canada","1","50 to 54","correctional facilities",1965
