"CSDUID","CDUID","PRUID","area_km2","temp_historical","temp_2025","temp_2050","temp_change_hist_2025","temp_change_hist_2050","temp_change_2025_2050","temp_extrapolated","temp_historical_cd_mean","temp_2025_cd_mean","temp_2050_cd_mean","temp_change_hist_2025_cd_mean","temp_change_hist_2050_cd_mean","temp_change_2025_2050_cd_mean","temp_historical_pr_mean","temp_2025_pr_mean","temp_2050_pr_mean","temp_change_hist_2025_pr_mean","temp_change_hist_2050_pr_mean","temp_change_2025_2050_pr_mean","temp_historical_pctile_national","temp_2025_pctile_national","temp_2050_pctile_national","temp_change_hist_2025_pctile_national","temp_change_hist_2050_pctile_national","temp_change_2025_2050_pctile_national","temp_historical_diff_cd","temp_2025_diff_cd","temp_2050_diff_cd","temp_change_hist_2025_diff_cd","temp_change_hist_2050_diff_cd","temp_change_2025_2050_diff_cd","temp_historical_diff_pr","temp_2025_diff_pr","temp_2050_diff_pr","temp_change_hist_2025_diff_pr","temp_change_hist_2050_diff_pr","temp_change_2025_2050_diff_pr","temp_historical_diff_national","temp_2025_diff_national","temp_2050_diff_national","temp_change_hist_2025_diff_national","temp_change_hist_2050_diff_national","temp_change_2025_2050_diff_national"
"4711068","4711","47",13.3242282672683,23.761589050293,25.8026123046875,27.4322052001953,2.04,3.67,1.63,FALSE,23.9184137216227,26.0848558438464,27.6349473719772,2.16763154446587,3.71591911873609,1.54943537532125,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,74.3,73.3,76.8,56.5,80.2,86.6,-0.16,-0.28,-0.2,-0.13,-0.05,0.08,1.83,1.72,2.09,-0.1,0.26,0.36,10.34,10.68,11.42,0.33,1.07,0.74
"4706081","4706","47",6.29319085394942,24.7348327636719,27.1574401855469,28.5108795166016,2.42,3.78,1.35,FALSE,24.2155066854858,26.6331909967493,28.0984848357207,2.41726263761151,3.88279888602299,1.4653598055266,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,88.7,94.1,93.4,89.8,84.9,66.5,0.52,0.52,0.41,0,-0.1,-0.12,2.8,3.08,3.17,0.28,0.37,0.08,11.32,12.03,12.5,0.71,1.18,0.46
"4706082","4706","47",0.111989322843642,24.8184204101562,27.1412048339844,28.58740234375,2.32,3.77,1.45,FALSE,24.2155066854858,26.6331909967493,28.0984848357207,2.41726263761151,3.88279888602299,1.4653598055266,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,90.6,94,94,83.9,84.4,74.1,0.6,0.51,0.49,-0.1,-0.11,-0.02,2.88,3.06,3.24,0.18,0.36,0.18,11.4,12.02,12.57,0.61,1.17,0.56
"4706085","4706","47",0.457073184564626,24.6989593505859,26.9653625488281,28.4180755615234,2.27,3.72,1.45,FALSE,24.2155066854858,26.6331909967493,28.0984848357207,2.41726263761151,3.88279888602299,1.4653598055266,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,88,91.9,92.7,80.3,82.6,74.1,0.48,0.33,0.32,-0.15,-0.16,-0.02,2.76,2.89,3.08,0.13,0.31,0.18,11.28,11.84,12.4,0.56,1.12,0.56
"4708042","4708","47",1936.50194563636,24.9695096697126,27.3599166870117,29.0027651105608,2.39,4.03,1.64,FALSE,24.8958744749573,27.2559222608067,28.9049512910674,2.35964840443396,4.0090499621941,1.64869021886013,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,94.1,95.5,96.5,88.3,91.9,87.3,0.07,0.1,0.1,0.03,0.02,-0.01,3.04,3.28,3.66,0.25,0.62,0.37,11.55,12.24,12.99,0.68,1.43,0.75
"4708044","4708","47",1.17153418130565,24.9506530761719,27.3479614257812,28.9865875244141,2.4,4.04,1.64,FALSE,24.8958744749573,27.2559222608067,28.9049512910674,2.35964840443396,4.0090499621941,1.64869021886013,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,93.7,95.4,96.3,88.8,92.1,87.3,0.05,0.09,0.08,0.04,0.03,-0.01,3.02,3.27,3.64,0.26,0.63,0.37,11.53,12.22,12.97,0.69,1.44,0.75
"4708046","4708","47",1237.27979880492,25.2065622430099,27.6210327148438,29.1952835886102,2.41,3.99,1.57,FALSE,24.8958744749573,27.2559222608067,28.9049512910674,2.35964840443396,4.0090499621941,1.64869021886013,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,97.7,97.5,97.7,89.3,90.6,82.9,0.31,0.37,0.29,0.05,-0.02,-0.08,3.27,3.54,3.85,0.27,0.58,0.3,11.79,12.5,13.18,0.7,1.39,0.68
"4708048","4708","47",0.670061195319277,25.0876159667969,27.51513671875,29.05908203125,2.43,3.97,1.54,FALSE,24.8958744749573,27.2559222608067,28.9049512910674,2.35964840443396,4.0090499621941,1.64869021886013,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,96.4,96.6,96.9,90.3,90.1,80.6,0.19,0.26,0.15,0.07,-0.04,-0.11,3.15,3.44,3.72,0.29,0.56,0.27,11.67,12.39,13.05,0.72,1.37,0.65
"4708053","4708","47",1447.51852294271,25.0426912529524,27.4398299816043,29.0084327875182,2.4,3.97,1.57,FALSE,24.8958744749573,27.2559222608067,28.9049512910674,2.35964840443396,4.0090499621941,1.64869021886013,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,95.7,96.1,96.5,88.8,90.1,82.9,0.15,0.18,0.1,0.04,-0.04,-0.08,3.11,3.36,3.67,0.26,0.56,0.3,11.63,12.32,12.99,0.69,1.37,0.68
"4708056","4708","47",1283.56058747939,25.221268112595,27.586421657253,29.1554862357475,2.37,3.93,1.57,FALSE,24.8958744749573,27.2559222608067,28.9049512910674,2.35964840443396,4.0090499621941,1.64869021886013,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,97.8,97.3,97.5,87.1,89,82.9,0.33,0.33,0.25,0.01,-0.08,-0.08,3.29,3.51,3.81,0.23,0.52,0.3,11.8,12.46,13.14,0.66,1.33,0.68
