"CSDUID","CDUID","PRUID","area_km2","tx30_2025","tx30_2050","tx30_change","tx30_extrapolated","tx30_2025_cd_mean","tx30_2050_cd_mean","tx30_change_cd_mean","tx30_2025_pr_mean","tx30_2050_pr_mean","tx30_change_pr_mean","tx30_2025_pctile_national","tx30_2050_pctile_national","tx30_change_pctile_national","tx30_2025_diff_cd","tx30_2050_diff_cd","tx30_change_diff_cd","tx30_2025_diff_pr","tx30_2050_diff_pr","tx30_change_diff_pr","tx30_2025_diff_national","tx30_2050_diff_national","tx30_change_diff_national"
"4808032","4808","48",2.09565289906471,11,17,6,FALSE,10.7041501703666,15.6829717848433,4.98677945080123,8.36137326341029,12.2641028840642,3.89529933399729,55.5,51.9,47.5,0.3,1.3,1,2.6,4.7,2.1,8.6,13.2,4.7
"4808034","4808","48",3.3406618164263,16,19,3,FALSE,10.7041501703666,15.6829717848433,4.98677945080123,8.36137326341029,12.2641028840642,3.89529933399729,70.7,56.9,25.1,5.3,3.3,-2,7.6,6.7,-0.9,13.6,15.2,1.7
"4808038","4808","48",2882.3291980081,8.77777777777778,13.4888888888889,4.7,FALSE,10.7041501703666,15.6829717848433,4.98677945080123,8.36137326341029,12.2641028840642,3.89529933399729,46.9,43.1,36.6,-1.9,-2.2,-0.3,0.4,1.2,0.8,6.3,9.7,3.4
"5953023","5953","59",329.002231713382,7.26666666666667,9.2,1.9,FALSE,2.35503209536572,3.28812319165531,0.927432670576677,2.10025303262589,3.54620247469099,1.44318936152802,41.2,31.8,17.6,4.9,5.9,1,5.2,5.7,0.5,4.8,5.4,0.6
"5953033","5953","59",221.982774487202,4.27272727272727,4.27272727272727,0,FALSE,2.35503209536572,3.28812319165531,0.927432670576677,2.10025303262589,3.54620247469099,1.44318936152802,28.2,17,4.7,1.9,1,-0.9,2.2,0.7,-1.4,1.8,0.5,-1.3
"5953038","5953","59",1441.63335208733,6.55102040816327,8.3265306122449,1.8,FALSE,2.35503209536572,3.28812319165531,0.927432670576677,2.10025303262589,3.54620247469099,1.44318936152802,38,29,17.1,4.2,5,0.9,4.5,4.8,0.4,4.1,4.5,0.5
"5953042","5953","59",2845.10166972627,6.48051948051948,8.62337662337662,2.1,FALSE,2.35503209536572,3.28812319165531,0.927432670576677,2.10025303262589,3.54620247469099,1.44318936152802,37.3,29.8,20.1,4.1,5.3,1.2,4.4,5.1,0.7,4,4.8,0.8
"5953044","5953","59",678.126724609671,5.47826086956522,7.04347826086957,1.6,FALSE,2.35503209536572,3.28812319165531,0.927432670576677,2.10025303262589,3.54620247469099,1.44318936152802,32.9,25,16.3,3.1,3.8,0.7,3.4,3.5,0.2,3,3.3,0.3
"5953046","5953","59",622.01517820855,4.6,6.12,1.5,FALSE,2.35503209536572,3.28812319165531,0.927432670576677,2.10025303262589,3.54620247469099,1.44318936152802,29.2,22.1,15.8,2.2,2.8,0.6,2.5,2.6,0.1,2.2,2.3,0.2
"5953048","5953","59",12651.8483260399,2.49837133550489,3.34201954397394,0.8,FALSE,2.35503209536572,3.28812319165531,0.927432670576677,2.10025303262589,3.54620247469099,1.44318936152802,18.1,14.9,12.2,0.1,0.1,-0.1,0.4,-0.2,-0.6,0.1,-0.4,-0.5
"5953050","5953","59",17856.8176444738,2.19101123595506,3.09438202247191,0.9,FALSE,2.35503209536572,3.28812319165531,0.927432670576677,2.10025303262589,3.54620247469099,1.44318936152802,17.2,14.7,12.4,-0.2,-0.2,0,0.1,-0.5,-0.5,-0.2,-0.7,-0.4
"5953801","5953","59",5.67954239964482,9,10,1,FALSE,2.35503209536572,3.28812319165531,0.927432670576677,2.10025303262589,3.54620247469099,1.44318936152802,48,33.7,13.5,6.6,6.7,0.1,6.9,6.5,-0.4,6.6,6.2,-0.3
"4709019","4709","47",865.748735703851,12.2916666666667,26.1666666666667,13.9,FALSE,11.5215133081362,24.1828397569489,12.652065615615,13.579379603014,19.5797131677624,5.99856635388725,60.5,71.4,95.1,0.8,2,1.2,-1.3,6.6,7.9,9.9,22.4,12.6
"4709029","4709","47",861.916258553941,11.9583333333333,28.0833333333333,16.1,FALSE,11.5215133081362,24.1828397569489,12.652065615615,13.579379603014,19.5797131677624,5.99856635388725,58.6,74.2,99.7,0.4,3.9,3.4,-1.6,8.5,10.1,9.5,24.3,14.8
"4709032","4709","47",7.33255433818793,12,27.5,15.5,FALSE,11.5215133081362,24.1828397569489,12.652065615615,13.579379603014,19.5797131677624,5.99856635388725,59.3,73.1,99.2,0.5,3.3,2.8,-1.6,7.9,9.5,9.6,23.7,14.2
"4709033","4709","47",864.019630795853,12.75,28.9583333333333,16.2,FALSE,11.5215133081362,24.1828397569489,12.652065615615,13.579379603014,19.5797131677624,5.99856635388725,61.9,74.9,99.8,1.2,4.8,3.5,-0.8,9.4,10.2,10.3,25.2,14.9
"4709037","4709","47",911.121055690585,12.9677419354839,25.5806451612903,12.6,FALSE,11.5215133081362,24.1828397569489,12.652065615615,13.579379603014,19.5797131677624,5.99856635388725,62.3,70.5,88.9,1.4,1.4,-0.1,-0.6,6,6.6,10.5,21.8,11.3
"4709038","4709","47",1.49289126429964,12,24.5,12.5,FALSE,11.5215133081362,24.1828397569489,12.652065615615,13.579379603014,19.5797131677624,5.99856635388725,59.3,68.6,88.2,0.5,0.3,-0.2,-1.6,4.9,6.5,9.6,20.7,11.2
"4709039","4709","47",6.05171256174332,15,29.5,14.5,FALSE,11.5215133081362,24.1828397569489,12.652065615615,13.579379603014,19.5797131677624,5.99856635388725,67.3,75.9,97.6,3.5,5.3,1.8,1.4,9.9,8.5,12.6,25.7,13.2
"4709042","4709","47",688.286893486075,11.4285714285714,21.8214285714286,10.4,FALSE,11.5215133081362,24.1828397569489,12.652065615615,13.579379603014,19.5797131677624,5.99856635388725,57,62.9,77.2,-0.1,-2.4,-2.3,-2.2,2.2,4.4,9,18,9.1
"4709044","4709","47",0.952028986023854,12,24,12,FALSE,11.5215133081362,24.1828397569489,12.652065615615,13.579379603014,19.5797131677624,5.99856635388725,59.3,67.5,84.9,0.5,-0.2,-0.7,-1.6,4.4,6,9.6,20.2,10.7
"4709046","4709","47",682.614534168929,11.6666666666667,26.25,14.6,FALSE,11.5215133081362,24.1828397569489,12.652065615615,13.579379603014,19.5797131677624,5.99856635388725,57.9,71.4,97.9,0.1,2.1,1.9,-1.9,6.7,8.6,9.2,22.5,13.3
"4714072","4714","47",907.524695145502,17.0357142857143,22.8214285714286,5.8,FALSE,12.7571044386038,19.6168117552684,6.84814832403121,13.579379603014,19.5797131677624,5.99856635388725,74,64.8,45.4,4.3,3.2,-1,3.5,3.2,-0.2,14.6,19,4.5
"4714073","4714","47",0.531929770614738,18,24,6,FALSE,12.7571044386038,19.6168117552684,6.84814832403121,13.579379603014,19.5797131677624,5.99856635388725,76.4,67.5,47.5,5.2,4.4,-0.8,4.4,4.4,0,15.6,20.2,4.7
"4714074","4714","47",0.403981870946224,17,23,6,FALSE,12.7571044386038,19.6168117552684,6.84814832403121,13.579379603014,19.5797131677624,5.99856635388725,73.4,65.4,47.5,4.2,3.4,-0.8,3.4,3.4,0,14.6,19.2,4.7
"4714076","4714","47",8.86607119070144,18,23,5,FALSE,12.7571044386038,19.6168117552684,6.84814832403121,13.579379603014,19.5797131677624,5.99856635388725,76.4,65.4,39.4,5.2,3.4,-1.8,4.4,3.4,-1,15.6,19.2,3.7
"4714077","4714","47",5242.61113536422,14.1484375,19.546875,5.4,FALSE,12.7571044386038,19.6168117552684,6.84814832403121,13.579379603014,19.5797131677624,5.99856635388725,65.4,57.9,42.7,1.4,-0.1,-1.4,0.6,0,-0.6,11.7,15.8,4.1
"4714079","4714","47",0.829363391039539,17.5,22,4.5,FALSE,12.7571044386038,19.6168117552684,6.84814832403121,13.579379603014,19.5797131677624,5.99856635388725,75,63.3,35.4,4.7,2.4,-2.3,3.9,2.4,-1.5,15.1,18.2,3.2
"4714091","4714","47",0.492386708116064,16,21.5,5.5,FALSE,12.7571044386038,19.6168117552684,6.84814832403121,13.579379603014,19.5797131677624,5.99856635388725,70.7,62.3,43.5,3.2,1.9,-1.3,2.4,1.9,-0.5,13.6,17.7,4.2
"4714092","4714","47",1.06774112139701,14,20,6,FALSE,12.7571044386038,19.6168117552684,6.84814832403121,13.579379603014,19.5797131677624,5.99856635388725,64.8,58.9,47.5,1.2,0.4,-0.8,0.4,0.4,0,11.6,16.2,4.7
"4714093","4714","47",1.21234698610245,12,18,6,FALSE,12.7571044386038,19.6168117552684,6.84814832403121,13.579379603014,19.5797131677624,5.99856635388725,59.3,54.5,47.5,-0.8,-1.6,-0.8,-1.6,-1.6,0,9.6,14.2,4.7
"4715062","4715","47",2.54938862279336,17,26,9,FALSE,15.0288166404233,22.3417767135752,7.32310194454945,13.579379603014,19.5797131677624,5.99856635388725,73.4,71,69.5,2,3.7,1.7,3.4,6.4,3,14.6,22.2,7.7
"4715064","4715","47",1081.58562711813,16,21.8,5.8,FALSE,15.0288166404233,22.3417767135752,7.32310194454945,13.579379603014,19.5797131677624,5.99856635388725,70.7,62.9,45.4,1,-0.5,-1.5,2.4,2.2,-0.2,13.6,18,4.5
"4715066","4715","47",70.9973379142327,14.5,21,6.5,FALSE,15.0288166404233,22.3417767135752,7.32310194454945,13.579379603014,19.5797131677624,5.99856635388725,66,61.3,51.5,-0.5,-1.3,-0.8,0.9,1.4,0.5,12.1,17.2,5.2
"4708024","4708","47",1277.59269278103,36.09375,44.75,8.7,FALSE,33.5162194832892,43.7950590291028,10.2750147687954,13.579379603014,19.5797131677624,5.99856635388725,97.6,96.4,67.1,2.6,1,-1.6,22.5,25.2,2.7,33.7,41,7.4
"4708026","4708","47",0.596317085851254,36,44,8,FALSE,33.5162194832892,43.7950590291028,10.2750147687954,13.579379603014,19.5797131677624,5.99856635388725,97.5,96,62.3,2.5,0.2,-2.3,22.4,24.4,2,33.6,40.2,6.7
"4708028","4708","47",1276.68612574007,35.7777777777778,43.8055555555556,8,FALSE,33.5162194832892,43.7950590291028,10.2750147687954,13.579379603014,19.5797131677624,5.99856635388725,97.3,95.8,62.3,2.3,0,-2.3,22.2,24.2,2,33.3,40,6.7
