"CSDUID","CDUID","PRUID","area_km2","tx_extrapolated","tx30_2025","tx30_2050","tx35_2025","tx35_2050","wsdi_2025","wsdi_2050","tx30_2025_cd_mean","tx30_2050_cd_mean","tx35_2025_cd_mean","tx35_2050_cd_mean","wsdi_2025_cd_mean","wsdi_2050_cd_mean","tx30_2025_pr_mean","tx30_2050_pr_mean","tx35_2025_pr_mean","tx35_2050_pr_mean","wsdi_2025_pr_mean","wsdi_2050_pr_mean","tx30_2025_pctile_national","tx30_2050_pctile_national","tx35_2025_pctile_national","tx35_2050_pctile_national","wsdi_2025_pctile_national","wsdi_2050_pctile_national"
"1001437","1001","10",27.624432233877,FALSE,0,0,0,0,13,20,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,10.1,9
"1001456","1001","10",28.9255185011436,FALSE,0,0,0,0,15.75,19.25,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,38.3,6.9
"1001559","1001","10",41.8808798878236,FALSE,0,0,0,0,15.75,19.25,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,38.3,6.9
"1002013","1002","10",33.415166116863,FALSE,0,0,0,0,40.75,48.5,0,0,0,0,27.2637883653274,37.5974683190346,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,99.8,96.6
"1002014","1002","10",64.9065486340487,FALSE,0,0,0,0,41.8333333333333,59,0,0,0,0,27.2637883653274,37.5974683190346,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,100,99.1
"1001101","1001","10",1307.70556151968,FALSE,0,0,0,0,26.258064516129,39.741935483871,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,96.4,89.1
"1001105","1001","10",1.31714317242658,FALSE,0,0,0,0,24.5,41.5,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,93.9,91.8
"1001316","1001","10",28.0057688114116,FALSE,0,0,0,0,13.5,22.25,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,12.8,15
"1001113","1001","10",56.7489582370987,FALSE,0,0,0,0,25.5,43.25,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,95.4,93.7
"1001120","1001","10",1.23983737273885,FALSE,0,0,0,0,35,47.5,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,99.5,96.2
"1001140","1001","10",9.69737620032275,FALSE,0,0,0,0,22.5,23.5,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,86.1,19.1
"1001186","1001","10",25.4069102950759,FALSE,0,0,0,0,31.3333333333333,42,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,99,92.3
"1001192","1001","10",30.647274902286,FALSE,0,0,0,0,27.25,34.5,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,97.4,67.4
"1001197","1001","10",63.1950285481983,FALSE,0,0,0,0,23.2,30.4,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,90.2,45.8
"1003020","1003","10",14.6814313562125,FALSE,0,0,0,0,20,27.5,0,0.0806619419909137,0,0,19.7251305549568,33.3587107706991,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,70.3,35.1
"1004018","1004","10",31.9109939390536,FALSE,0,0,0,0,14.8,25.6,0,0,0,0,19.8544403030263,30.9378556994833,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,24.9,27.2
"1001203","1001","10",701.399111214123,FALSE,0,0,0,0,24.5416666666667,30.2916666666667,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,94,45.6
"1001434","1001","10",8.00631412092204,FALSE,0,0,0,0,13,19.5,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,10.1,7.6
"1003021","1003","10",4010.73017075195,FALSE,0,0,0,0,20.6027397260274,36.7534246575342,0,0.0806619419909137,0,0,19.7251305549568,33.3587107706991,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,74.4,79.2
"1002041","1002","10",16.6787976949717,FALSE,0,0,0,0,22,37.5,0,0,0,0,27.2637883653274,37.5974683190346,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,83.4,82.8
"1004017","1004","10",6.46474528866748,FALSE,0,0,0,0,13,22,0,0,0,0,19.8544403030263,30.9378556994833,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,10.1,14.3
"1001207","1001","10",6.14315559757564,FALSE,0,0,0,0,26,32,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,96.1,52.3
"1001308","1001","10",25.2293584272834,FALSE,0,0,0,0,17,23.6,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,50.3,19.4
"1001343","1001","10",18.4056237409192,FALSE,0,0,0,0,12,16,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,6.3,3.4
"1001214","1001","10",1326.16999940143,FALSE,0,0,0,0,33.8620689655172,43.3448275862069,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,99.3,93.8
"1001254","1001","10",21.0651092660538,FALSE,0,0,0,0,30.6,33.8,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,98.7,62.1
"1001259","1001","10",1499.90383341948,FALSE,0,0,0,0,19.9024390243902,28.4390243902439,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,68.6,38.9
"1001409","1001","10",65.9383508752984,FALSE,0,0,0,0,13.4285714285714,20.5714285714286,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,12.4,10.6
"1001131","1001","10",134.834442581335,FALSE,0,0,0,0,22.5714285714286,27.2857142857143,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,86.4,34.2
"1001370","1001","10",18.3235965553429,FALSE,0,0,0,0,13,21.5,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,10.1,12.8
"1001485","1001","10",64.813761366251,FALSE,0,0,0,0,14.6666666666667,16.8333333333333,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,23.5,3.9
"1001285","1001","10",20.6511969975563,FALSE,0,0,0,0,20.3333333333333,30,0,0,0,0,21.286803556911,28.0306793844045,0.408135862249372,0.827083300047433,0,0,15.7625310880164,23.1646438000293,4.8,3.9,36,26.3,72.9,44.5
