"CSDUID","CDUID","PRUID","area_km2","hx_extrapolated","hx30_2025","hx30_2050","hx35_2025","hx35_2050","hx40_2025","hx40_2050","hx30_2025_cd_mean","hx30_2050_cd_mean","hx35_2025_cd_mean","hx35_2050_cd_mean","hx40_2025_cd_mean","hx40_2050_cd_mean","hx30_2025_pr_mean","hx30_2050_pr_mean","hx35_2025_pr_mean","hx35_2050_pr_mean","hx40_2025_pr_mean","hx40_2050_pr_mean","hx30_2025_pctile_national","hx30_2050_pctile_national","hx35_2025_pctile_national","hx35_2050_pctile_national","hx40_2025_pctile_national","hx40_2050_pctile_national"
"3560057","3560","35",47.2808051773599,FALSE,33.4,53.2,7.4,10.6,0,1,18.0655196476808,28.2553618789524,2.96399566737316,6.22710649295303,0.0103569088421248,0.135264876794362,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,68.2,78.2,70.9,60.8,40.8,66.4
"3560058","3560","35",39.0014080799136,FALSE,31.75,52.5,9.75,15,0,1,18.0655196476808,28.2553618789524,2.96399566737316,6.22710649295303,0.0103569088421248,0.135264876794362,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,65.4,76.7,78.8,70.9,40.8,66.4
"3560059","3560","35",91.8066354714891,FALSE,16,25,2.5,5.33333333333333,0,0,18.0655196476808,28.2553618789524,2.96399566737316,6.22710649295303,0.0103569088421248,0.135264876794362,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,32.2,33.6,46.8,43.6,40.8,27.7
"3560060","3560","35",12.3775546810778,FALSE,38,57.5,13,19.5,0.5,2.5,18.0655196476808,28.2553618789524,2.96399566737316,6.22710649295303,0.0103569088421248,0.135264876794362,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,75.9,83.1,86.8,81.2,86.2,82.4
"3557075","3557","35",15.5534956419338,FALSE,34.6666666666667,55.3333333333333,7,19.6666666666667,0,1,23.7202248991226,39.37819114678,2.86721485134478,8.02444138149969,0,0.099129808262015,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,70.2,80.7,69,81.5,40.8,66.4
"3557076","3557","35",448.0432928791,FALSE,15.8333333333333,31.6666666666667,0.666666666666667,4.25,0,0,23.7202248991226,39.37819114678,2.86721485134478,8.02444138149969,0,0.099129808262015,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,31.7,42,31.2,38.7,40.8,27.7
"3557077","3557","35",6.72138216109206,FALSE,27,50,3,13,0,0,23.7202248991226,39.37819114678,2.86721485134478,8.02444138149969,0,0.099129808262015,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,56,72.4,49.6,66.6,40.8,27.7
"3554058","3554","35",95.9834623621312,FALSE,26.1666666666667,38.6666666666667,5,10.6666666666667,0,0,28.0686208509318,41.4341317127862,5.13384134717492,10.358461475991,0,0.117960500380216,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,54.2,54.7,60.3,60.9,40.8,27.7
"4811005","4811","48",0.591742714989181,FALSE,12,19,0,0,0,0,14.7055067040393,23.1723190784889,0.685018241573407,2.82586815144525,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,25.5,26.9,12.3,9.6,40.8,27.7
"4811006","4811","48",0.451017115158246,FALSE,12.5,20,0,0.5,0,0,14.7055067040393,23.1723190784889,0.685018241573407,2.82586815144525,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,26,27.8,12.3,22.2,40.8,27.7
"4811007","4811","48",0.191227439039014,FALSE,13,21,0,1,0,0,14.7055067040393,23.1723190784889,0.685018241573407,2.82586815144525,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,26.9,28.8,12.3,25,40.8,27.7
"4811008","4811","48",0.377570252588625,FALSE,13,21,0,1,0,0,14.7055067040393,23.1723190784889,0.685018241573407,2.82586815144525,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,26.9,28.8,12.3,25,40.8,27.7
"4811009","4811","48",0.502184730071457,FALSE,13,21,0,1,0,0,14.7055067040393,23.1723190784889,0.685018241573407,2.82586815144525,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,26.9,28.8,12.3,25,40.8,27.7
