"CSDUID","CDUID","PRUID","area_km2","hx_extrapolated","hx30_2025","hx30_2050","hx35_2025","hx35_2050","hx40_2025","hx40_2050","hx30_2025_cd_mean","hx30_2050_cd_mean","hx35_2025_cd_mean","hx35_2050_cd_mean","hx40_2025_cd_mean","hx40_2050_cd_mean","hx30_2025_pr_mean","hx30_2050_pr_mean","hx35_2025_pr_mean","hx35_2050_pr_mean","hx40_2025_pr_mean","hx40_2050_pr_mean","hx30_2025_pctile_national","hx30_2050_pctile_national","hx35_2025_pctile_national","hx35_2050_pctile_national","hx40_2025_pctile_national","hx40_2050_pctile_national"
"3549066","3549","35",135.905808780218,FALSE,37.3333333333333,54,6.33333333333333,17.6666666666667,0,0.5,34.2588457972639,53.4525379240356,4.54103914985685,17.4385069301748,0,0.686405613482958,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,74.9,79.3,66.4,76.8,40.8,60.4
"4601070","4601","46",16.6167519684499,FALSE,37,57,11.5,20.5,0,2,42.134294911022,62.5613941056292,16.2707077555259,24.6244296908262,1.19566861212106,3.9514875768957,20.3717676657492,28.5551284855614,5.21422872953483,8.81217732493773,0.511321334204384,1.0043039674114,74.2,82.5,83.8,82.7,40.8,77.5
"4819048","4819","48",0.669122483195981,FALSE,15,14.5,0,1,0,0,10.4806953285139,11.688574616079,0.122909602532244,0.690493218774963,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,30.3,22.1,12.3,25,40.8,27.7
"4819049","4819","48",2879.04535581079,FALSE,14.6290322580645,15,0.306451612903226,1.38709677419355,0,0,10.4806953285139,11.688574616079,0.122909602532244,0.690493218774963,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,29.4,22.7,28,26.8,40.8,27.7
"3544027","3544","35",796.141706534209,FALSE,34.6666666666667,51.9047619047619,5.19047619047619,15.3333333333333,0,0.476190476190476,39.8817590511003,58.2124814306618,7.18131272513161,21.8426286665965,0,0.986322798829502,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,70.2,75.4,61.3,71.9,40.8,60
"3539018","3539","35",11.2076404036466,FALSE,72.5,82,28.5,43,4,9,70.2263964175523,81.4623245850359,27.148073503334,42.0826451746156,2.85432931884396,7.04699459733232,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,99.4,98.9,99.4,99.2,99.1,99.5
"3541032","3541","35",569.067220106143,FALSE,53.1428571428571,67.5714285714286,13.3571428571429,30,0.0714285714285714,2.64285714285714,39.2826956872576,56.882919389832,6.96393785824266,20.2875945370056,0.00541396970069712,0.934573107908342,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,91.8,90.4,87.3,92.7,82.1,83.2
"3541043","3541","35",465.701878661162,FALSE,49.7777777777778,66,12.1111111111111,29.5555555555556,0,2.33333333333333,39.2826956872576,56.882919389832,6.96393785824266,20.2875945370056,0.00541396970069712,0.934573107908342,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,89.2,89.5,85.4,92.2,40.8,81.6
"3554066","3554","35",92.2702512454233,FALSE,27,39.75,4.5,10,0,0,28.0686208509318,41.4341317127862,5.13384134717492,10.358461475991,0,0.117960500380216,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,56,56.5,58.2,58.8,40.8,27.7
"3554068","3554","35",277.132086158079,FALSE,27.25,39.625,4.875,10,0,0,28.0686208509318,41.4341317127862,5.13384134717492,10.358461475991,0,0.117960500380216,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,56.6,56.3,59.3,58.8,40.8,27.7
"4802012","4802","48",124.433490472336,FALSE,27,50.6666666666667,1.33333333333333,6.83333333333333,0,0,29.7220888180885,50.2570257727354,3.03125489852382,9.7172108342452,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,56,73.4,38.5,48.3,40.8,27.7
"4802013","4802","48",3.0927433860707,FALSE,26.5,50.5,1.5,5.5,0,0,29.7220888180885,50.2570257727354,3.03125489852382,9.7172108342452,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,54.8,73.2,39.5,44.2,40.8,27.7
"4802014","4802","48",2.26655972644443,FALSE,22,42.5,1,4,0,0,29.7220888180885,50.2570257727354,3.03125489852382,9.7172108342452,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,45.5,61.2,34.8,37.3,40.8,27.7
"4802016","4802","48",0.81001093068006,FALSE,21,41,1,4,0,0,29.7220888180885,50.2570257727354,3.03125489852382,9.7172108342452,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,43.3,59,34.8,37.3,40.8,27.7
"4802018","4802","48",3.06852540376722,FALSE,26,49,2,6,0,0,29.7220888180885,50.2570257727354,3.03125489852382,9.7172108342452,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,53.4,71.1,43.3,45.9,40.8,27.7
"4802019","4802","48",14.0565129221367,FALSE,28,50.5,1.5,7.5,0,0,29.7220888180885,50.2570257727354,3.03125489852382,9.7172108342452,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,58.3,73.2,39.5,50.9,40.8,27.7
"4802021","4802","48",4254.40714146122,FALSE,34.1891891891892,53.8648648648649,4.13513513513514,12.7162162162162,0,0,29.7220888180885,50.2570257727354,3.03125489852382,9.7172108342452,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,69.6,78.9,57.1,65.9,40.8,27.7
