"dguid","char","period","total","o","om","onm","r","rs","rns"
1203,"1+ person with limitation","Before 2016",800,625,410,215,180,15,160
1203,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1203,"Veteran in household","Total",395,340,145,195,55,0,45
1203,"Veteran in household","Before 2016",395,340,145,195,50,0,40
1203,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1203,"0.5% or under","Total",1875,1645,0,1635,235,70,160
1203,"0.5% or under","Before 2016",1860,1640,0,1630,220,70,150
1203,"0.5% or under","2016 to 2021",25,0,0,0,0,0,0
1203,"0.6% to 1.25%","Total",2855,2240,405,1840,615,140,475
1203,"0.6% to 1.25%","Before 2016",2835,2225,405,1820,610,140,475
1203,"0.6% to 1.25%","2016 to 2021",20,15,0,15,0,0,0
1203,"1.26% to 2%","Total",2310,1570,1350,220,735,25,715
1203,"1.26% to 2%","Before 2016",2290,1560,1340,220,735,25,705
1203,"1.26% to 2%","2016 to 2021",25,15,0,0,10,0,10
1203,"2.1% to 3%","Total",740,610,580,30,125,0,125
1203,"2.1% to 3%","Before 2016",675,590,565,30,80,0,80
1203,"2.1% to 3%","2016 to 2021",60,15,15,0,45,0,45
1203,"3.1% or over","Total",260,245,245,0,0,0,0
1203,"3.1% or over","Before 2016",255,240,240,0,0,0,0
1203,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1204,"Total","Total",4975,4095,1615,2475,880,150,730
1204,"Total","Before 2016",4845,4000,1585,2415,845,145,700
1204,"Total","2016 to 2021",130,95,30,65,30,0,35
1204,"1+ person with limitation","Total",410,325,225,95,80,0,75
1204,"1+ person with limitation","Before 2016",395,315,225,85,80,0,75
1204,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1204,"Veteran in household","Total",280,250,110,135,35,0,20
1204,"Veteran in household","Before 2016",280,250,110,135,35,0,20
1204,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
