"dguid","var","1per","2per","3per","4per","5per"
3519054,"mbm",28730,40640,49770,57470,64250
3519054,"living_income",45990,65040,79650,91970,102830
3519070,"mbm",28130,39790,48730,56270,62910
3519070,"living_income",45220,63950,78320,90440,101110
3520005,"mbm",28130,39780,48720,56250,62890
3520005,"living_income",45080,63750,78070,90150,100790
3521005,"mbm",29310,41450,50770,58620,65540
3521005,"living_income",47220,66780,81790,94450,105600
3521010,"mbm",30830,43600,53400,61670,68940
3521010,"living_income",49450,69940,85660,98910,110580
3521024,"mbm",27390,38730,47440,54780,61240
3521024,"living_income",44060,62310,76320,88120,98530
3522001,"mbm",25520,36090,44200,51040,57060
3522001,"living_income",40960,57920,70940,81910,91580
3522008,"mbm",27480,38860,47590,54960,61440
3522008,"living_income",43980,62190,76170,87950,98330
3522010,"mbm",28340,40080,49090,56680,63370
3522010,"living_income",45430,64250,78690,90860,101590
3522012,"mbm",24060,34020,41670,48110,53790
3522012,"living_income",38730,54770,67080,77460,86600
3522014,"mbm",28050,39660,48580,56090,62710
3522014,"living_income",44970,63600,77890,89940,100560
3522016,"mbm",26510,37490,45910,53020,59270
3522016,"living_income",42570,60200,73730,85130,95180
3522019,"mbm",27370,38710,47410,54740,61200
3522019,"living_income",43970,62180,76150,87930,98310
3522021,"mbm",28950,40940,50140,57900,64730
3522021,"living_income",46370,65580,80320,92750,103700
3523001,"mbm",25440,35980,44070,50890,56890
3523001,"living_income",41190,58260,71350,82390,92110
3523008,"mbm",29630,41910,51330,59270,66260
3523008,"living_income",47940,67800,83040,95880,107200
3523009,"mbm",26170,37000,45320,52330,58510
3523009,"living_income",42320,59850,73300,84640,94630
3523017,"mbm",27000,38180,46770,54000,60370
3523017,"living_income",43600,61660,75520,87210,97500
3523025,"mbm",28260,39970,48950,56520,63190
3523025,"living_income",45750,64710,79250,91510,102310
3523033,"mbm",27380,38720,47420,54760,61220
3523033,"living_income",44330,62690,76780,88660,99120
3523043,"mbm",28590,40440,49520,57190,63940
3523043,"living_income",46490,65750,80530,92990,103960
3523050,"mbm",29240,41350,50640,58470,65370
3523050,"living_income",47580,67290,82410,95160,106390
3524001,"mbm",27320,38640,47320,54640,61090
3524001,"living_income",43760,61890,75790,87520,97850
3524002,"mbm",26890,38030,46580,53790,60140
3524002,"living_income",43210,61110,74840,86420,96620
3524009,"mbm",28500,40300,49360,56990,63720
3524009,"living_income",45560,64430,78910,91120,101870
3524015,"mbm",25950,36700,44950,51900,58020
3524015,"living_income",41680,58950,72190,83360,93200
3525005,"mbm",27150,38400,47030,54300,60710
3525005,"living_income",43700,61790,75680,87390,97710
3526003,"mbm",25640,36250,44400,51270,57320
3526003,"living_income",41250,58340,71450,82510,92240
3526011,"mbm",26150,36990,45300,52310,58480
3526011,"living_income",42090,59530,72910,84190,94120
3526014,"mbm",23820,33690,41260,47640,53260
3526014,"living_income",38360,54250,66440,76720,85770
3526021,"mbm",25290,35770,43810,50590,56560
3526021,"living_income",40550,57350,70230,81100,90670
3526028,"mbm",23690,33500,41030,47370,52970
3526028,"living_income",38090,53870,65980,76180,85180
3526032,"mbm",26760,37840,46340,53510,59830
3526032,"living_income",43000,60810,74470,85990,96140
3526037,"mbm",27300,38610,47280,54600,61040
3526037,"living_income",43730,61850,75750,87470,97790
3526043,"mbm",26830,37940,46470,53660,59990
3526043,"living_income",43080,60930,74620,86160,96330
3526047,"mbm",23310,32960,40370,46620,52120
3526047,"living_income",37570,53130,65070,75140,84010
3526053,"mbm",26830,37940,46470,53660,59990
3526053,"living_income",43100,60950,74650,86200,96370
3526057,"mbm",24610,34800,42620,49220,55030
3526057,"living_income",39530,55900,68470,79060,88390
3526065,"mbm",25790,36470,44670,51580,57670
3526065,"living_income",41320,58430,71560,82630,92390
3528018,"mbm",26290,37170,45530,52570,58780
3528018,"living_income",42360,59910,73370,84720,94720
3528052,"mbm",25050,35430,43390,50100,56010
3528052,"living_income",40580,57390,70290,81170,90750
3529005,"mbm",24770,35030,42900,49540,55390
3529005,"living_income",39800,56290,68940,79610,89010
3529006,"mbm",27230,38520,47170,54470,60900
3529006,"living_income",43720,61830,75730,87440,97760
3529021,"mbm",21000,29700,36370,42000,46960
3529021,"living_income",34380,48620,59550,68760,76880
3530004,"mbm",24900,35210,43120,49790,55670
3530004,"living_income",40080,56680,69410,80150,89610
3530010,"mbm",27920,39480,48350,55830,62420
3530010,"living_income",44890,63480,77750,89780,100370
3530013,"mbm",28390,40140,49170,56770,63470
3530013,"living_income",45660,64570,79080,91320,102100
3530016,"mbm",27100,38330,46940,54200,60600
3530016,"living_income",43640,61720,75590,87280,97590
3530020,"mbm",24690,34920,42760,49380,55210
3530020,"living_income",39830,56330,68990,79670,89070
3530027,"mbm",23750,33580,41130,47490,53100
3530027,"living_income",38370,54270,66460,76740,85800
3530035,"mbm",25390,35900,43970,50770,56760
3530035,"living_income",40890,57820,70820,81770,91420
3531011,"mbm",25880,36610,44830,51770,57880
3531011,"living_income",41540,58750,71960,83090,92890
3531013,"mbm",22890,32370,39650,45780,51180
3531013,"living_income",36860,52130,63850,73720,82420
3531016,"mbm",23850,33720,41300,47690,53320
3531016,"living_income",38390,54290,66490,76770,85840
3531025,"mbm",23620,33400,40910,47240,52820
3531025,"living_income",38010,53760,65840,76020,85000
3531030,"mbm",24310,34380,42110,48620,54360
3531030,"living_income",39040,55220,67620,78090,87300
3531040,"mbm",25010,35360,43310,50010,55910
3531040,"living_income",40160,56800,69560,80320,89800
3532002,"mbm",26200,37050,45380,52400,58590
3532002,"living_income",42230,59720,73140,84450,94420
3532004,"mbm",26270,37160,45510,52550,58750
3532004,"living_income",42560,60190,73710,85120,95160
3532012,"mbm",25240,35700,43720,50490,56450
3532012,"living_income",40750,57630,70580,81490,91110
3532018,"mbm",26820,37930,46450,53640,59970
3532018,"living_income",43230,61130,74870,86450,96650
3532027,"mbm",24370,34470,42220,48750,54500
3532027,"living_income",39370,55680,68190,78740,88030
3532038,"mbm",25590,36200,44330,51190,57230
3532038,"living_income",41270,58360,71480,82530,92270
3532042,"mbm",27870,39410,48270,55730,62310
3532042,"living_income",44880,63470,77730,89760,100350
3532045,"mbm",25070,35460,43430,50140,56060
3532045,"living_income",40420,57170,70020,80850,90390
3534005,"mbm",25980,36740,45000,51960,58090
3534005,"living_income",42000,59390,72740,83990,93910
3534010,"mbm",25520,36090,44210,51040,57070
3534010,"living_income",41190,58260,71350,82390,92110
3534011,"mbm",27450,38820,47550,54900,61380
3534011,"living_income",44350,62720,76810,88690,99160
3534020,"mbm",24290,34350,42060,48570,54310
3534020,"living_income",39260,55520,67990,78510,87780
3534021,"mbm",27550,38970,47720,55110,61610
3534021,"living_income",44480,62910,77050,88970,99470
3534024,"mbm",24880,35180,43080,49750,55620
3534024,"living_income",40140,56760,69520,80280,89750
3534030,"mbm",25710,36350,44520,51410,57480
3534030,"living_income",41510,58710,71900,83030,92830
3534042,"mbm",25810,36500,44700,51610,57700
3534042,"living_income",41820,59140,72440,83640,93510
3536020,"mbm",25690,36330,44500,51380,57440
3536020,"living_income",41690,58960,72210,83380,93220
3537003,"mbm",28620,40470,49560,57230,63990
3537003,"living_income",46540,65820,80610,93080,104070
3537013,"mbm",26100,36910,45210,52200,58370
3537013,"living_income",42500,60100,73600,84990,95020
3537016,"mbm",26880,38010,46550,53750,60100
3537016,"living_income",43770,61890,75800,87530,97860
3537028,"mbm",26610,37630,46090,53220,59500
3537028,"living_income",43220,61120,74860,86440,96640
3537034,"mbm",25130,35540,43520,50250,56190
3537034,"living_income",40770,57650,70610,81530,91160
3537039,"mbm",29540,41780,51170,59090,66060
3537039,"living_income",48130,68070,83360,96260,107620
3537048,"mbm",25070,35450,43420,50140,56060
3537048,"living_income",40760,57650,70600,81530,91150
3537064,"mbm",25660,36290,44450,51330,57380
3537064,"living_income",41620,58860,72090,83240,93070
3538003,"mbm",23140,32720,40080,46280,51740
3538003,"living_income",37470,52990,64900,74940,83790
3538007,"mbm",24470,34610,42390,48950,54720
3538007,"living_income",39620,56030,68620,79230,88580
3538015,"mbm",23930,33840,41440,47850,53500
3538015,"living_income",38790,54860,67190,77590,86740
3538016,"mbm",22640,32010,39210,45270,50610
3538016,"living_income",36670,51850,63510,73330,81990
3538019,"mbm",24990,35330,43280,49970,55870
3538019,"living_income",40370,57090,69920,80730,90260
3538025,"mbm",21840,30880,37820,43670,48830
3538025,"living_income",36110,51070,62540,72220,80740
3538030,"mbm",25440,35980,44070,50890,56900
3538030,"living_income",41150,58190,71270,82300,92010
3538031,"mbm",23960,33880,41500,47920,53570
3538031,"living_income",38830,54910,67250,77650,86820
3538035,"mbm",23050,32600,39920,46100,51540
3538035,"living_income",37270,52710,64560,74540,83340
3538040,"mbm",23940,33860,41460,47880,53530
3538040,"living_income",38830,54920,67260,77670,86830
3538043,"mbm",24020,33970,41600,48040,53710
3538043,"living_income",38900,55010,67380,77800,86980
3538056,"mbm",22290,31520,38610,44580,49840
3538056,"living_income",36730,51940,63620,73460,82130
3539005,"mbm",27310,38620,47300,54610,61060
3539005,"living_income",44500,62930,77070,88990,99500
3539015,"mbm",27430,38790,47510,54860,61340
3539015,"living_income",44550,63000,77160,89100,99620
3539027,"mbm",25430,35960,44040,50850,56860
3539027,"living_income",41260,58340,71460,82510,92250
3539033,"mbm",25070,35450,43420,50140,56060
3539033,"living_income",40610,57430,70340,81220,90810
3539036,"mbm",29780,42110,51570,59550,66580
3539036,"living_income",48310,68320,83680,96620,108030
3539041,"mbm",27040,38250,46840,54090,60470
3539041,"living_income",43960,62170,76140,87920,98300
3539047,"mbm",25680,36320,44490,51370,57430
3539047,"living_income",41710,58990,72240,83420,93270
3539060,"mbm",26900,38050,46600,53810,60160
3539060,"living_income",43560,61610,75460,87130,97410
3540005,"mbm",25270,35740,43770,50540,56510
3540005,"living_income",40990,57970,70990,81980,91650
3540010,"mbm",24580,34760,42570,49160,54960
3540010,"living_income",39850,56360,69020,79700,89110
3540025,"mbm",24870,35180,43080,49750,55620
3540025,"living_income",40350,57060,69890,80700,90220
3540028,"mbm",26890,38030,46580,53780,60130
3540028,"living_income",43550,61590,75430,87100,97390
3540040,"mbm",24900,35220,43140,49810,55690
3540040,"living_income",40400,57130,69970,80790,90330
3540046,"mbm",25350,35840,43900,50690,56680
3540046,"living_income",41030,58020,71060,82050,91740
3540050,"mbm",26090,36900,45190,52180,58340
3540050,"living_income",42140,59590,72980,84270,94220
3540055,"mbm",26490,37460,45880,52970,59230
3540055,"living_income",42850,60600,74220,85700,95810
3540063,"mbm",24100,34090,41750,48200,53890
3540063,"living_income",39200,55440,67900,78400,87650
3541004,"mbm",24530,34690,42480,49060,54850
3541004,"living_income",39740,56210,68840,79490,88870
3541015,"mbm",23970,33900,41520,47940,53600
3541015,"living_income",38870,54970,67320,77730,86910
3541024,"mbm",25160,35580,43580,50320,56260
3541024,"living_income",40600,57410,70310,81190,90780
3541032,"mbm",25020,35380,43330,50030,55940
3541032,"living_income",40530,57310,70190,81050,90620
3541043,"mbm",26770,37850,46360,53530,59850
3541043,"living_income",43230,61130,74870,86450,96660
3541045,"mbm",24740,34990,42850,49480,55330
3541045,"living_income",39950,56500,69190,79900,89330
3541055,"mbm",25580,36180,44310,51160,57200
3541055,"living_income",41530,58730,71930,83060,92860
3541060,"mbm",24420,34530,42290,48830,54590
3541060,"living_income",40430,57180,70030,80870,90410
3541069,"mbm",24030,33990,41630,48070,53740
3541069,"living_income",39210,55450,67910,78420,87670
3542004,"mbm",25010,35360,43310,50010,55920
3542004,"living_income",40580,57390,70290,81160,90740
3542005,"mbm",27810,39330,48170,55620,62180
3542005,"living_income",44760,63300,77520,89520,100080
3542015,"mbm",26110,36920,45220,52210,58380
3542015,"living_income",42170,59640,73040,84340,94300
3542029,"mbm",27250,38540,47200,54510,60940
3542029,"living_income",44110,62380,76400,88220,98630
3542037,"mbm",26030,36820,45090,52070,58210
3542037,"living_income",42100,59540,72920,84200,94140
3542045,"mbm",24250,34300,42010,48500,54230
3542045,"living_income",39220,55460,67930,78440,87690
3542047,"mbm",25960,36710,44960,51910,58040
3542047,"living_income",42000,59400,72740,84000,93910
3542053,"mbm",24060,34030,41680,48130,53810
3542053,"living_income",38980,55130,67520,77970,87170
3542059,"mbm",28310,40030,49030,56620,63300
3542059,"living_income",45810,64790,79350,91620,102430
3543003,"mbm",25660,36290,44440,51320,57380
3543003,"living_income",41220,58300,71400,82450,92180
3543005,"mbm",26180,37020,45350,52360,58540
3543005,"living_income",42130,59590,72980,84270,94210
3543007,"mbm",27580,39010,47770,55160,61670
3543007,"living_income",44220,62530,76590,88430,98870
3543009,"mbm",25240,35690,43710,50470,56430
3543009,"living_income",40550,57350,70240,81110,90680
3543014,"mbm",28400,40160,49180,56790,63500
3543014,"living_income",45400,64200,78630,90800,101510
3543015,"mbm",25500,36060,44170,51000,57020
3543015,"living_income",41120,58160,71230,82250,91960
3543017,"mbm",27850,39390,48240,55700,62270
3543017,"living_income",44640,63140,77330,89290,99830
3543019,"mbm",25640,36270,44420,51290,57340
3543019,"living_income",41420,58570,71740,82830,92610
3543021,"mbm",25800,36490,44700,51610,57700
3543021,"living_income",41490,58680,71870,82980,92780
3543023,"mbm",24330,34410,42140,48660,54400
3543023,"living_income",39220,55460,67930,78430,87690
3543031,"mbm",27710,39180,47990,55420,61960
3543031,"living_income",44580,63050,77220,89170,99690
3543042,"mbm",28720,40610,49740,57440,64220
3543042,"living_income",46020,65090,79710,92040,102910
3543050,"mbm",20470,28940,35450,40930,45760
3543050,"living_income",33750,47730,58460,67500,75470
3543052,"mbm",28770,40690,49830,57540,64330
3543052,"living_income",46330,65510,80240,92650,103590
3543064,"mbm",26330,37240,45610,52660,58880
3543064,"living_income",42550,60180,73700,85110,95150
3543068,"mbm",24570,34740,42550,49130,54930
3543068,"living_income",39750,56210,68850,79500,88880
3543071,"mbm",26290,37180,45530,52570,58780
3543071,"living_income",42420,60000,73480,84850,94860
3543072,"mbm",27080,38300,46910,54170,60560
3543072,"living_income",43720,61830,75730,87440,97770
3543074,"mbm",28320,40050,49050,56640,63320
3543074,"living_income",45660,64570,79090,91320,102100
3544002,"mbm",26870,38000,46550,53750,60090
3544002,"living_income",43470,61470,75290,86940,97200
3544018,"mbm",27010,38200,46790,54030,60400
3544018,"living_income",43550,61590,75430,87100,97380
3544027,"mbm",23620,33410,40910,47240,52820
3544027,"living_income",38350,54230,66420,76690,85750
3544042,"mbm",26410,37350,45740,52820,59050
3544042,"living_income",42650,60320,73870,85300,95370
3544053,"mbm",24980,35330,43260,49960,55850
3544053,"living_income",40420,57160,70010,80840,90380
3544065,"mbm",24200,34230,41920,48410,54120
3544065,"living_income",39310,55590,68080,78620,87900
3546005,"mbm",26440,37390,45790,52880,59120
3546005,"living_income",42960,60750,74410,85920,96060
3546015,"mbm",25020,35390,43340,50050,55950
3546015,"living_income",40640,57480,70400,81290,90880
3546018,"mbm",22890,32380,39660,45790,51190
3546018,"living_income",37380,52860,64740,74750,83580
3546024,"mbm",24790,35060,42940,49580,55430
3546024,"living_income",40250,56920,69710,80500,90000
3547002,"mbm",27080,38300,46900,54160,60550
3547002,"living_income",43740,61860,75760,87490,97810
3547003,"mbm",25100,35500,43480,50210,56130
3547003,"living_income",40520,57300,70180,81030,90600
3547008,"mbm",23850,33720,41300,47690,53320
3547008,"living_income",38770,54820,67140,77530,86680
3547030,"mbm",25180,35610,43610,50360,56300
3547030,"living_income",41050,58050,71090,82090,91780
3547033,"mbm",24370,34470,42210,48750,54500
3547033,"living_income",39810,56300,68960,79620,89020
3547035,"mbm",26200,37050,45380,52400,58590
3547035,"living_income",42510,60120,73630,85020,95060
3547043,"mbm",23500,33240,40710,47010,52560
3547043,"living_income",38200,54030,66170,76410,85430
3547046,"mbm",24850,35140,43030,49690,55560
3547046,"living_income",40200,56850,69620,80390,89880
3547048,"mbm",27040,38240,46830,54080,60460
3547048,"living_income",43920,62110,76060,87830,98200
3547056,"mbm",24780,35040,42920,49560,55410
3547056,"living_income",40180,56830,69600,80370,89860
3547064,"mbm",27960,39540,48430,55920,62530
3547064,"living_income",45270,64020,78410,90540,101220
3547070,"mbm",23620,33400,40910,47240,52810
3547070,"living_income",38410,54320,66520,76810,85880
3547075,"mbm",24310,34380,42110,48620,54360
3547075,"living_income",39350,55650,68160,78700,87990
3547076,"mbm",24420,34530,42290,48830,54600
3547076,"living_income",39450,55790,68330,78900,88220
3547090,"mbm",24670,34890,42740,49350,55170
3547090,"living_income",39910,56440,69130,79820,89240
3547096,"mbm",23660,33460,40980,47320,52900
3547096,"living_income",38350,54240,66430,76710,85760
3548001,"mbm",23940,33850,41460,47880,53530
3548001,"living_income",39190,55420,67880,78380,87630
3548021,"mbm",27530,38930,47680,55060,61560
3548021,"living_income",44820,63380,77630,89640,100220
3548027,"mbm",25770,36450,44640,51550,57630
3548027,"living_income",41740,59030,72300,83480,93340
3548034,"mbm",25110,35510,43490,50210,56140
3548034,"living_income",40460,57210,70070,80910,90460
3548044,"mbm",27800,39310,48150,55590,62160
3548044,"living_income",44880,63470,77730,89760,100350
3548055,"mbm",26950,38120,46690,53910,60270
3548055,"living_income",43630,61710,75570,87270,97570
3548073,"mbm",22800,32240,39490,45600,50980
3548073,"living_income",37360,52830,64710,74710,83530
3548094,"mbm",24710,34940,42790,49410,55250
3548094,"living_income",40190,56840,69610,80380,89870
3549003,"mbm",23700,33510,41040,47390,52990
3549003,"living_income",38520,54470,66720,77040,86130
3549014,"mbm",26390,37330,45720,52790,59020
3549014,"living_income",42760,60480,74070,85520,95620
3549022,"mbm",31490,44540,54550,62990,70420
3549022,"living_income",50840,71890,88050,101670,113670
3549031,"mbm",23890,33780,41370,47770,53410
3549031,"living_income",38730,54780,67090,77470,86610
3549032,"mbm",28380,40140,49160,56770,63470
3549032,"living_income",45950,64980,79580,91890,102740
3549043,"mbm",24730,34970,42830,49460,55300
3549043,"living_income",40300,57000,69810,80610,90120
3549046,"mbm",25480,36040,44130,50960,56980
3549046,"living_income",41400,58550,71710,82800,92580
3549056,"mbm",27160,38410,47050,54330,60740
3549056,"living_income",44110,62380,76400,88210,98630
3549060,"mbm",26080,36890,45180,52160,58320
3549060,"living_income",42190,59670,73080,84390,94350
3549066,"mbm",25380,35890,43950,50750,56740
3549066,"living_income",40930,57880,70890,81850,91510
3549096,"mbm",24820,35100,42990,49640,55490
3549096,"living_income",40610,57440,70350,81230,90820
3551006,"mbm",25080,35470,43450,50170,56090
3551006,"living_income",40800,57700,70660,81590,91230
3551011,"mbm",23950,33870,41480,47890,53550
3551011,"living_income",39020,55180,67580,78040,87250
3551017,"mbm",25660,36290,44450,51330,57380
3551017,"living_income",41600,58840,72060,83210,93030
3551026,"mbm",26340,37250,45620,52680,58900
3551026,"living_income",42780,60500,74090,85550,95650
3551043,"mbm",21360,30200,36990,42720,47760
3551043,"living_income",35540,50270,61570,71090,79480
3551045,"mbm",22510,31840,39000,45030,50340
3551045,"living_income",37260,52690,64530,74520,83310
3552001,"mbm",25780,36450,44650,51550,57640
3552001,"living_income",41880,59230,72540,83760,93650
3552004,"mbm",24980,35330,43270,49960,55860
3552004,"living_income",40560,57360,70250,81120,90690
3552013,"mbm",25590,36190,44330,51180,57230
3552013,"living_income",41420,58580,71740,82840,92620
3552023,"mbm",24390,34490,42240,48780,54540
3552023,"living_income",39730,56190,68820,79470,88850
3552026,"mbm",24830,35110,43000,49660,55520
3552026,"living_income",40300,57000,69810,80610,90120
3552036,"mbm",23060,32620,39950,46130,51570
3552036,"living_income",37670,53270,65250,75340,84230
3552092,"mbm",23550,33310,40800,47110,52670
3552092,"living_income",38300,54170,66340,76600,85640
3552093,"mbm",23690,33510,41040,47390,52980
3552093,"living_income",38570,54550,66800,77140,86240
3553005,"mbm",26130,36950,45250,52250,58420
3553005,"living_income",42220,59710,73130,84450,94410
3554006,"mbm",25850,36560,44780,51700,57810
3554006,"living_income",41950,59330,72660,83900,93800
3554008,"mbm",26990,38180,46760,53990,60360
3554008,"living_income",43960,62170,76140,87920,98290
3554020,"mbm",26130,36960,45260,52260,58430
3554020,"living_income",42370,59920,73380,84740,94740
3554029,"mbm",24150,34150,41830,48300,54000
3554029,"living_income",39110,55300,67730,78210,87440
3554036,"mbm",25700,36350,44510,51400,57470
3554036,"living_income",41710,58980,72240,83410,93260
3554052,"mbm",26550,37540,45980,53090,59360
3554052,"living_income",43060,60890,74580,86110,96280
3554068,"mbm",25660,36290,44450,51330,57380
3554068,"living_income",41800,59120,72410,83610,93480
3554094,"mbm",22900,32390,39670,45810,51220
3554094,"living_income",37350,52820,64690,74690,83510
3556014,"mbm",27300,38610,47290,54610,61050
3556014,"living_income",45140,63840,78190,90290,100940
3556027,"mbm",29540,41770,51160,59070,66050
3556027,"living_income",48370,68400,83770,96730,108150
3556031,"mbm",28820,40760,49920,57640,64440
3556031,"living_income",47450,67100,82180,94900,106100
3556042,"mbm",29260,41380,50680,58520,65420
3556042,"living_income",48100,68020,83310,96200,107550
3556048,"mbm",30350,42930,52580,60710,67880
3556048,"living_income",50110,70860,86790,100210,112040
3556066,"mbm",30160,42650,52230,60320,67430
3556066,"living_income",49650,70220,86000,99310,111030
3556076,"mbm",29010,41020,50240,58010,64860
3556076,"living_income",47690,67450,82610,95390,106640
3556092,"mbm",25760,36440,44620,51530,57610
3556092,"living_income",42350,59890,73350,84700,94700
3556093,"mbm",22520,31840,39000,45030,50350
3556093,"living_income",37500,53030,64950,75000,83850
3556094,"mbm",23190,32790,40160,46370,51850
3556094,"living_income",38870,54970,67330,77740,86920
3556106,"mbm",27110,38340,46950,54210,60610
3556106,"living_income",44440,62850,76970,88880,99370
3557001,"mbm",22650,32030,39220,45290,50640
3557001,"living_income",37160,52550,64350,74310,83080
3557008,"mbm",23160,32760,40120,46330,51790
3557008,"living_income",37720,53340,65330,75430,84340
3557016,"mbm",23420,33130,40570,46850,52380
3557016,"living_income",38300,54160,66330,76590,85630
3557028,"mbm",24670,34890,42730,49340,55160
3557028,"living_income",40370,57100,69930,80740,90280
3557035,"mbm",23920,33830,41430,47840,53490
3557035,"living_income",39070,55250,67670,78130,87360
3557038,"mbm",25580,36170,44300,51150,57190
3557038,"living_income",41600,58830,72050,83200,93020
3557039,"mbm",29400,41580,50930,58800,65740
3557039,"living_income",47730,67500,82670,95450,106720
3557041,"mbm",28290,40010,49010,56590,63270
3557041,"living_income",46090,65180,79820,92170,103050
3557051,"mbm",23310,32960,40370,46620,52120
3557051,"living_income",37810,53480,65500,75630,84560
3557061,"mbm",25900,36630,44870,51810,57920
3557061,"living_income",42000,59400,72750,84010,93920
3557071,"mbm",21670,30650,37540,43350,48470
3557071,"living_income",36040,50970,62420,72080,80580
3557076,"mbm",23800,33660,41230,47600,53220
3557076,"living_income",38720,54760,67070,77440,86580
3557095,"mbm",23160,32760,40120,46330,51800
3557095,"living_income",37790,53450,65460,75580,84510
3558003,"mbm",19500,27580,33780,39000,43610
3558003,"living_income",31830,45010,55130,63660,71170
3558004,"mbm",23870,33760,41350,47750,53380
3558004,"living_income",38340,54220,66400,76670,85720
3558011,"mbm",21510,30410,37250,43010,48090
3558011,"living_income",34620,48960,59970,69250,77420
3558016,"mbm",22810,32260,39510,45620,51010
3558016,"living_income",36620,51790,63420,73240,81880
3558028,"mbm",20390,28840,35320,40780,45590
3558028,"living_income",32920,46560,57030,65850,73620
3558041,"mbm",21980,31080,38060,43950,49140
3558041,"living_income",35490,50190,61470,70980,79350
3558051,"mbm",21830,30870,37810,43660,48810
3558051,"living_income",35240,49830,61030,70470,78790
3558054,"mbm",20770,29370,35970,41540,46440
3558054,"living_income",33580,47490,58160,67160,75080
3558059,"mbm",20240,28620,35050,40480,45250
3558059,"living_income",32750,46310,56720,65490,73220
3558066,"mbm",21200,29990,36730,42410,47410
3558066,"living_income",34320,48530,59440,68630,76740
3558075,"mbm",22000,31110,38100,44000,49190
3558075,"living_income",35520,50230,61520,71030,79420
3558090,"mbm",20730,29320,35910,41470,46360
3558090,"living_income",33540,47440,58100,67090,75000
3559001,"mbm",23970,33900,41520,47940,53600
3559001,"living_income",39120,55320,67760,78240,87480
3559011,"mbm",22060,31200,38210,44120,49330
3559011,"living_income",35820,50660,62040,71640,80100
3559012,"mbm",24820,35110,42990,49650,55510
3559012,"living_income",40310,57010,69830,80630,90150
3559019,"mbm",23630,33420,40930,47270,52850
3559019,"living_income",38330,54210,66390,76660,85710
3560001,"mbm",24440,34560,42330,48870,54640
3560001,"living_income",39830,56330,68990,79660,89060
3560010,"mbm",25970,36730,44990,51950,58080
3560010,"living_income",41960,59340,72680,83920,93830
3560021,"mbm",24490,34640,42420,48980,54770
3560021,"living_income",39800,56290,68940,79600,88990
3560027,"mbm",24410,34520,42280,48820,54580
3560027,"living_income",39620,56040,68630,79250,88600
3560032,"mbm",25360,35860,43920,50720,56700
3560032,"living_income",40960,57930,70950,81920,91590
3560034,"mbm",24480,34630,42410,48970,54750
3560034,"living_income",39560,55950,68530,79130,88470
3560042,"mbm",22780,32220,39460,45560,50940
3560042,"living_income",36920,52210,63940,73830,82550
3560049,"mbm",25060,35440,43400,50110,56030
3560049,"living_income",40720,57590,70530,81440,91060
3560051,"mbm",20690,29250,35830,41370,46260
3560051,"living_income",34430,48690,59630,68850,76980
3560056,"mbm",21490,30390,37220,42980,48050
3560056,"living_income",35840,50690,62080,71690,80150
3560078,"mbm",20230,28610,35050,40470,45240
3560078,"living_income",33600,47520,58200,67210,75140
3560090,"mbm",21810,30840,37770,43610,48760
3560090,"living_income",35630,50380,61700,71250,79660
4601035,"mbm",32310,45690,55960,64620,72250
4601035,"living_income",43640,61710,75580,87280,97580
4601039,"mbm",29960,42370,51900,59920,67000
4601039,"living_income",40260,56930,69730,80510,90020
4601057,"mbm",25990,36750,45010,51970,58110
4601057,"living_income",35050,49560,60700,70090,78370
4601060,"mbm",30550,43210,52920,61110,68320
4601060,"living_income",41250,58330,71440,82490,92230
4601071,"mbm",27930,39500,48380,55870,62460
4601071,"living_income",37640,53230,65200,75280,84170
4601075,"mbm",30300,42850,52480,60600,67750
4601075,"living_income",40860,57780,70770,81720,91360
4602024,"mbm",26930,38080,46640,53850,60210
4602024,"living_income",36670,51870,63520,73350,82010
4602032,"mbm",25990,36760,45020,51990,58120
4602032,"living_income",35500,50200,61490,71000,79380
4602037,"mbm",26630,37660,46120,53260,59550
4602037,"living_income",36330,51380,62920,72660,81230
4602041,"mbm",27480,38860,47590,54950,61440
4602041,"living_income",37630,53210,65170,75260,84140
4602044,"mbm",28490,40290,49350,56980,63710
4602044,"living_income",38960,55100,67490,77930,87130
4602046,"mbm",27230,38510,47160,54460,60890
4602046,"living_income",37350,52820,64690,74700,83510
4602053,"mbm",28300,40030,49030,56610,63290
4602053,"living_income",38780,54840,67170,77560,86710
4602057,"mbm",26380,37310,45690,52760,58990
4602057,"living_income",36040,50970,62420,72080,80590
4602061,"mbm",28980,40980,50190,57960,64800
4602061,"living_income",39670,56100,68700,79330,88700
4602069,"mbm",25640,36260,44410,51280,57330
4602069,"living_income",35110,49650,60810,70210,78500
4602075,"mbm",25780,36450,44640,51550,57640
4602075,"living_income",35300,49920,61140,70600,78940
4603040,"mbm",26610,37630,46090,53220,59500
4603040,"living_income",36330,51370,62920,72650,81230
4603041,"mbm",27160,38420,47050,54330,60740
4603041,"living_income",37170,52560,64380,74340,83110
4603047,"mbm",26810,37920,46440,53630,59960
4603047,"living_income",36730,51950,63620,73460,82140
4603050,"mbm",28310,40030,49030,56610,63300
4603050,"living_income",38730,54770,67080,77460,86600
4603053,"mbm",26990,38170,46750,53980,60350
4603053,"living_income",36860,52130,63840,73720,82420
4603065,"mbm",24780,35050,42920,49560,55410
4603065,"living_income",33820,47830,58580,67640,75620
